lang1_ETS,lang2_ETS,weighted_mean_trade,mean_trade,weighted_sum_trade,sum_trade
urd,rus,-18.78213414995914,-17.339749845977284,-19.475281330519085,-18.032897026537228
tur,rus,-20.69477923830295,-18.347818329082596,-21.387926418862897,-19.040965509642543
vie,rus,-20.366975713054973,-19.029458393480283,-21.06012289361492,-19.722605574040227
yor,rus,-18.51183830850055,-17.64623304469263,-19.204985489060498,-18.339380225252572
tam,rus,-15.52543998114656,-17.042982794873698,-16.218587161706505,-17.736129975433645
por,ita,-20.748588162234103,-18.00600962034367,-21.441735342794047,-18.699156800903616
spa,ita,-19.856510048281464,-17.75508084465805,-20.549657228841408,-18.448228025217997
jpn,ita,-20.514911172752377,-18.93547199701621,-21.20805835331232,-19.628619177576155
mal,ita,-20.5090815643156,-18.990536333011125,-21.202228744875544,-19.683683513571072
pan,ita,-20.388609742631896,-18.511952178036317,-21.08175692319184,-19.20509935859626
tgl,ita,-18.83927625482789,-19.391075428005557,-19.532423435387837,-20.0842226085655
tel,ita,-19.94248770215661,-17.826672348083967,-20.635634882716552,-18.519819528643914
tha,ita,-20.6779222426349,-19.63072890456902,-21.371069423194843,-20.323876085128962
urd,ita,-19.876563746010458,-17.854347485288613,-20.5697109265704,-18.54749466584856
rus,ita,-20.598285772223218,-18.079602473389354,-21.29143295278316,-18.7727496539493
pol,ita,-20.948532513341526,-18.98187048474774,-21.64167969390147,-19.675017665307685
tur,ita,-21.900060540775918,-19.004177583530755,-22.593207721335865,-19.697324764090702
kor,ita,-19.753019466903535,-18.80998253047592,-20.44616664746348,-19.503129711035864
vie,ita,-23.37231655066462,-19.72154901159349,-24.065463731224565,-20.414696192153432
rum,ita,-20.336291257638592,-17.703774608292544,-21.02943843819854,-18.396921788852488
yor,ita,-17.846035116400245,-17.18265094296978,-18.53918229696019,-17.875798123529727
mar,ita,-20.197225630472843,-17.87154516225544,-20.890372811032787,-18.564692342815388
kan,ita,-20.084554343926772,-19.872483215708094,-20.77770152448672,-20.56563039626804
tam,ita,-15.925613375026272,-17.099384585173212,-16.618760555586217,-17.79253176573316
nep,ita,-17.192562501950786,-17.18052424210035,-17.88570968251073,-17.873671422660298
por,pol,-19.594503268511716,-18.027592288335168,-20.287650449071663,-18.72073946889511
spa,pol,-18.72633236145279,-17.834200449245593,-19.419479542012734,-18.527347629805536
tgl,pol,-19.25462645539918,-19.415832695680997,-19.947773635959127,-20.108979876240944
tel,pol,-19.757551496932656,-17.786812695985848,-20.450698677492603,-18.47995987654579
tha,pol,-21.44301263367997,-20.02871328172421,-22.136159814239917,-20.72186046228416
urd,pol,-19.34100704105852,-18.052565886361748,-20.034154221618465,-18.745713066921695
rus,pol,-20.58463434249785,-19.767976346093945,-21.277781523057797,-20.46112352665389
tur,pol,-20.771203470570274,-19.805000687860904,-21.46435065113022,-20.498147868420848
vie,pol,-20.868904185713074,-20.238981701511594,-21.562051366273018,-20.93212888207154
rum,pol,-19.618866694750473,-19.480213680688827,-20.312013875310416,-20.17336086124877
yor,pol,-18.98129201913893,-18.13600785595259,-19.674439199698874,-18.829155036512535
tam,pol,-16.26849925551226,-18.08220723023639,-16.961646436072204,-18.775354410796336
urd,tur,-19.976593478661226,-18.299436323041075,-20.669740659221173,-18.99258350360102
vie,tur,-20.457889898652866,-20.22572918336408,-21.15103707921281,-20.918876363924024
yor,tur,-19.09928096396911,-17.991664968932028,-19.792428144529058,-18.684812149491975
por,kor,-18.951871309456756,-17.852467449093155,-19.6450184900167,-18.545614629653098
spa,kor,-17.72235780636919,-17.210991818603613,-18.415504986929136,-17.90413899916356
mal,kor,-19.677476307195054,-18.79969058556023,-20.370623487755,-19.49283776612018
pan,kor,-19.34184825455972,-18.530982830371897,-20.034995435119665,-19.224130010931844
tgl,kor,-17.93776254438139,-18.67279699209104,-18.630909724941333,-19.365944172650988
tel,kor,-19.344049442189327,-18.408733952968827,-20.03719662274927,-19.101881133528774
tha,kor,-17.551994963642738,-19.098632432012725,-18.24514214420268,-19.791779612572668
urd,kor,-19.08429828797302,-18.01069974625187,-19.777445468532964,-18.703846926811817
rus,kor,-18.707708183030935,-17.574642214120196,-19.400855363590882,-18.26778939468014
pol,kor,-18.779374171312327,-18.136354190886546,-19.472521351872278,-18.829501371446494
tur,kor,-19.056418473070078,-17.86263635608906,-19.749565653630025,-18.555783536649002
vie,kor,-20.068714505919257,-18.902627372630935,-20.761861686479204,-19.595774553190882
rum,kor,-17.09503934658596,-17.476356693656385,-17.788186527145907,-18.169503874216332
