lang1_ETS,lang2_ETS,mean_tij_across_countries,mean_tij_across_countries_unweighted
jpn,ara,250.4332194738159,277.7798960477144
ind,ara,245.7219924308892,276.0573820705733
mal,ara,176.11692301813503,227.08453257321437
pan,ara,187.52144372236268,249.41478394617698
pol,ara,273.5860662874533,285.43892404658453
fas,ara,211.63057867559314,231.6604432152676
tgl,ara,303.6175624307173,214.5026230554445
tel,ara,179.25525853163495,251.19308719625892
tha,ara,189.55800991771414,206.1655498719839
tur,ara,237.63341699814393,284.161784103818
urd,ara,215.5349364519232,272.05867377805635
rus,ara,311.8961267292041,323.03669433301775
dut,ara,160.08886219348517,215.636227791099
kor,ara,241.54507077639016,305.06122096087887
rum,ara,335.35606038220936,337.1538590449453
vie,ara,252.252633526672,274.626621538582
guj,ara,214.30550999495415,300.14308468358087
bul,ara,275.89192286374805,260.16490070108375
yor,ara,323.33134632432274,280.1385507261223
chi,ara,238.21047168022054,306.10898726139015
tam,ara,469.79291183373726,386.59301580743227
mar,ara,183.5243697255604,270.2692158648914
kan,ara,173.34078243501406,174.8277726606085
ibo,ara,332.6286584669371,330.4418106328413
nep,ara,332.6286584669371,330.4418106328413
eng,ben,297.7370774491047,272.7663439641135
fre,ben,281.8243735541302,281.3792466383118
por,ben,254.08700933236432,237.15026129979748
spa,ben,302.80885188018203,276.1593155451577
ger,ben,232.46591645950264,243.75074820659702
gre,ben,244.25282510013838,238.5689107439999
hin,ben,191.34680716721354,207.33776956134412
ita,ben,205.66240652091787,217.49650881729326
jpn,ben,216.12267791684042,229.69443837962152
ind,ben,180.64659110153374,198.34178364659445
mal,ben,171.21919743248793,190.84161818251985
pan,ben,159.55953560142936,188.15997822209457
pol,ben,239.92101461862643,235.63450673717966
fas,ben,218.6231410537902,204.07407624151423
tgl,ben,186.62385674017497,167.65767094840982
tel,ben,162.92475210566238,196.56437485589572
tha,ben,155.32509327548857,161.48242567943882
tur,ben,241.30741704115167,242.22208756478068
urd,ben,205.11983070034978,216.6435808833737
rus,ben,267.1084913184392,269.1318294153244
dut,ben,154.81571983584084,183.9734629474819
kor,ben,225.91329504325665,238.7050948792408
rum,ben,280.66773571314434,268.72644583723195
vie,ben,207.84506254326442,212.61770331884148
guj,ben,199.2319379956687,223.35140775420268
bul,ben,247.97313448135657,237.0932518264394
yor,ben,261.45984254829034,237.07977252455632
chi,ben,205.34095150859616,225.53058687702332
tam,ben,221.56445584362606,233.1891805417208
mar,ben,167.21132998628252,224.5176166135913
kan,ben,125.25274693024342,124.35175634329906
ibo,ben,294.4605967262608,299.10088475760426
nep,ben,294.4605967262608,299.10088475760426
por,ger,184.02378164997316,239.63757449982623
spa,ger,204.8880817383255,258.8876593744254
gre,ger,162.29438591076723,218.59782174066916
hin,ger,186.01745197359435,267.92159679777905
ita,ger,119.9387931604776,203.98443967214632
jpn,ger,176.98978896796342,239.96580160906265
ind,ger,208.15592673780512,248.3362411476964
mal,ger,183.89284539133615,234.8656323692709
pan,ger,179.59983973172723,233.19596384834057
pol,ger,135.98594943394374,184.35313408832934
tgl,ger,255.10268291398268,198.28192304853573
tel,ger,187.55977780816715,253.86777623240815
tha,ger,188.2416737628094,205.74046131693706
tur,ger,140.22900884715918,208.79288225743238
urd,ger,194.35990998957917,266.17920843339346
rus,ger,138.54704115423243,213.31883750858634
kor,ger,167.58425353629585,247.33054705401085
rum,ger,166.51808093766687,221.21288620312836
vie,ger,176.07295363672648,212.34401795172872
guj,ger,187.95066076090407,280.3683298241102
yor,ger,314.14184473166847,247.6753648131295
tam,ger,372.07093207616316,354.7043380345087
mar,ger,188.04411946365943,211.75737941813318
kan,ger,190.74931803076694,192.57120651635913
ibo,ger,330.0685750374355,333.37986452545437
nep,ger,330.0685750374355,333.37986452545437
por,gre,230.1228904643216,244.70319087951262
spa,gre,275.66707090647037,275.85392342729426
hin,gre,217.20148498556185,260.3564800007734
ita,gre,149.01574069039293,208.52593852894992
jpn,gre,217.44782914752662,253.4646915866302
ind,gre,242.42910354636672,254.753712400979
mal,gre,204.42654811900056,234.07561066006656
pan,gre,204.97667652992394,231.1638955608771
pol,gre,184.62191126066116,194.21027395174542
tgl,gre,266.3265037029216,200.1177866126349
tel,gre,209.830222337459,250.88689101339327
tha,gre,216.07295980987632,212.9774746909332
tur,gre,170.77465947014315,209.09221797295268
urd,gre,230.16255139666458,257.6615371772679
rus,gre,184.0784042833675,221.0228033721434
kor,gre,227.4219661734502,255.70174604766456
rum,gre,209.278462974962,227.589165676661
vie,gre,202.25078579325765,222.72797178138157
guj,gre,223.805107723581,269.2389202207448
yor,gre,326.0275435843879,259.2200674843454
tam,gre,377.0046248712836,335.91691347542894
mar,gre,198.64158647049214,221.08371788742716
kan,gre,199.37582324829538,199.55651406701202
ibo,gre,334.03278227009815,335.9222971289196
nep,gre,334.03278227009815,335.9222971289196
por,hin,245.22059021098318,245.86826180453934
spa,hin,261.8051349344159,299.44553554862756
ita,hin,181.5815660118365,245.69290090270584
jpn,hin,200.10187111217328,259.2116028379465
ind,hin,186.37166730424084,219.86497147366777
mal,hin,157.6176519761058,198.7200233210977
pan,hin,158.04050637377236,202.8383362669726
pol,hin,214.09683510009557,260.41516047615625
tgl,hin,259.5812951273081,196.20770855152966
tel,hin,162.94553826363722,210.61149150986037
tha,hin,166.8260019782911,185.483088298918
tur,hin,208.75598138926185,261.5623900863759
urd,hin,168.43420469897941,228.96815764345362
rus,hin,242.0391773976462,290.78029519763265
kor,hin,206.80679940863055,266.5180477138465
rum,hin,229.6050600557802,286.80657608697766
vie,hin,185.63301049217196,227.54943754590522
yor,hin,274.22295862420634,246.2336501722057
tam,hin,257.5322668436586,283.67207277047027
mar,hin,165.96343935825544,209.58721270780177
kan,hin,168.10350648189328,168.11785715063735
ibo,hin,305.29976955180325,313.4306766605989
nep,hin,305.29976955180325,313.4306766605989
por,ita,173.32834920724397,229.66577118472176
spa,ita,181.92657242418954,244.70628387923887
jpn,ita,165.49552387298405,217.28988897531204
mal,ita,176.1811031980489,209.35863910905712
pan,ita,173.2071680487312,213.2106123275409
pol,ita,139.6176270115653,192.61390833050524
tgl,ita,196.2517246354762,167.8541472217568
tel,ita,180.3460381631599,227.61989760039174
tha,ita,171.53549319435194,181.67570500372986
tur,ita,136.43656956162692,210.4939588064043
urd,ita,189.15970074225373,242.9456532629908
rus,ita,151.3350530299138,230.90449644037386
kor,ita,167.56000858441456,241.0313384466443
rum,ita,172.30692745812254,241.00239835915548
vie,ita,169.2546108052659,203.65974601143316
yor,ita,269.8385049904345,237.434396839139
tam,ita,339.27806915621437,326.3697909252539
mar,ita,177.29518050437764,208.28002163849789
kan,ita,181.1328778345431,183.10808280817793
nep,ita,287.717869466187,292.7473962110279
por,jpn,210.03830381355996,243.28152597515833
spa,jpn,188.9220137607998,236.28112832643873
mal,jpn,189.28085270347012,212.06804616463364
pan,jpn,188.07398796831805,214.3633843665406
pol,jpn,207.56330418249934,230.69202125142627
tgl,jpn,196.35779183968452,178.45888419704997
tel,jpn,198.5606532708576,225.38195036091497
tha,jpn,162.15718035236404,182.71151141622136
tur,jpn,209.46704423099052,248.67367778118944
urd,jpn,209.0164931825453,251.87296685617432
rus,jpn,214.44205403784593,265.1349066271157
kor,jpn,161.16117230504233,244.0335734870912
rum,jpn,236.20677095918919,269.7344304513405
vie,jpn,148.14023955815043,212.1929536833804
yor,jpn,299.6603689230367,249.84146725665016
tam,jpn,315.5349694157394,327.6704532296947
mar,jpn,210.1220103648269,216.38416338126618
kan,jpn,213.46779686245083,217.13506246235175
nep,jpn,307.52411305992604,309.4567627536734
por,ind,234.15610225381485,239.58799517562161
spa,ind,261.3018088765023,278.2462839847714
ita,ind,194.24447243862815,222.081993581016
jpn,ind,167.35247258146,208.44706944577482
mal,ind,148.74704840247045,184.34950940102584
pan,ind,144.5983314162182,181.47093979150708
pol,ind,215.1540653646817,236.28875452593556
tgl,ind,134.79304638513625,156.9701336019956
tel,ind,145.083692234149,182.62548349618982
tha,ind,99.97969340904528,131.5282583003206
tur,ind,237.04838260394155,253.8773651449126
urd,ind,197.5791105422675,227.74198623754344
rus,ind,263.39554045746604,278.0902628953988
kor,ind,193.69115546283797,233.8431935304486
rum,ind,281.372611582637,284.5241493983043
vie,ind,150.48286625710648,192.5267366762709
yor,ind,250.14505477504795,211.12183643495996
tam,ind,340.7865278220738,298.7977357242665
mar,ind,159.24258561404568,223.17288027665896
kan,ind,137.7600556786168,140.92304324580627
nep,ind,304.52516774345037,306.460530325725
por,mal,225.7120936789533,232.43451417452056
spa,mal,247.71135883733356,264.33960382864615
pan,mal,139.3591745962122,182.18288152676988
pol,mal,189.65386269551908,215.72364884038723
tgl,mal,153.0616799805389,146.0353718205743
tel,mal,141.44532028791306,178.2194544607152
tha,mal,115.6299647690039,130.19928756176017
tur,mal,193.13002058997537,234.78063933193187
urd,mal,153.97860991351618,208.012662540898
rus,mal,225.52330413722035,259.40499991453544
rum,mal,214.65038723243407,260.53540723951323
vie,mal,171.195076406736,197.51996951509275
yor,mal,220.1669209402522,227.56531733942728
tam,mal,221.49094900241468,260.5794373256462
mar,mal,138.43125581959802,201.6969084809752
nep,mal,250.97355238185352,259.48308196795756
por,pan,225.04205120122995,233.92382959304047
spa,pan,248.58161574501798,273.59109955253274
pol,pan,190.10902533092013,221.58897107505788
tgl,pan,166.3032355965837,155.5249351483907
tel,pan,144.27445630428204,186.07518563979934
tha,pan,129.1525676695675,144.78607767300372
tur,pan,195.90623734692076,232.16767134620906
urd,pan,155.149284113943,210.14785334168673
rus,pan,217.5624399202869,257.39711491579993
rum,pan,218.68782180736423,253.42868431760502
vie,pan,172.04056681269185,199.15245095156462
yor,pan,232.07028204734937,223.39243960987102
tam,pan,234.72230591747817,264.62833620832083
por,pol,214.67660396325928,241.24768222145119
spa,pol,250.5949275125428,260.4778646594497
tgl,pol,231.862883102062,184.46121898626131
tel,pol,196.04267736767412,245.60413114025008
tha,pol,179.9751216130773,190.28132389642968
tur,pol,147.89673448454806,174.7598524050718
urd,pol,223.10428498791586,257.7607011783971
rus,pol,130.57052122692292,169.77411981512077
rum,pol,161.09902222400999,175.76943010066583
vie,pol,170.98193237760583,200.2067585672148
yor,pol,320.4891525900952,249.8177743875146
tam,pol,388.4360542125733,351.4120945229722
fre,fas,291.24955212649,254.0782425593609
por,fas,242.95581982713745,228.4771487428706
spa,fas,311.4909149861712,253.62104811782788
ger,fas,197.80048881296761,205.89683979401474
gre,fas,202.10468652038682,203.22968985964349
hin,fas,207.1556340481529,221.55051561700347
ita,fas,169.9946057566459,193.43959892316096
jpn,fas,209.94666254049406,225.94115315558028
ind,fas,201.44812407583225,218.36253172898057
mal,fas,169.84747002379203,194.540449415252
pan,fas,183.84789735160325,198.42285367400592
pol,fas,187.34744500512917,181.74216103256097
tgl,fas,227.370117595581,168.77494432674075
tel,fas,177.56330729947223,206.66692965257766
tha,fas,172.2368187077126,170.20338024093613
tur,fas,174.54015846265605,198.8626607110625
urd,fas,215.221932614922,225.30437023157177
rus,fas,197.46730888106433,213.54626214518817
kor,fas,193.9518681219873,229.6537838633851
rum,fas,205.34610949129998,217.2607337035151
vie,fas,192.36623733671385,196.09769370294023
guj,fas,216.5952311335161,233.61863900658273
yor,fas,318.85005898921986,237.91114055426976
tam,fas,341.0711671830179,300.217608139333
mar,fas,167.3581936688681,187.4975451781195
kan,fas,157.74565846115811,158.4330788083989
ibo,fas,318.1761796870569,318.48812173782727
nep,fas,318.1761796870569,318.48812173782727
tha,tgl,106.94188402446702,115.8442721114325
tur,tgl,267.8846021188085,202.8178540265992
urd,tgl,241.09645769757233,193.19781429987498
vie,tgl,178.35298035896005,171.35650313561925
yor,tgl,297.5362626699769,240.36406059378362
tgl,tel,163.82843740366678,164.4902711080069
tha,tel,124.53283123750128,144.20998152744926
tur,tel,199.88690589612605,248.47596915504238
urd,tel,158.36181238548943,221.74909962372098
vie,tel,178.64202769963612,211.88281745973893
yor,tel,229.6940445562179,221.51463794944243
tur,tha,206.14990209678024,210.9726135524104
urd,tha,181.79393773477995,186.199910697616
vie,tha,127.7594588841213,162.69918790319784
yor,tha,193.4972653558404,204.69137373376722
urd,tur,213.86976239378743,259.9679923000477
vie,tur,204.8928026740739,213.68570204306215
yor,tur,347.3272198764468,255.49849513200544
vie,urd,206.1302232302117,234.5077910314501
yor,urd,319.9845810242479,251.3247164075147
spa,rus,263.6563933432614,287.04309183422055
tgl,rus,301.424771086216,226.6216123162259
tel,rus,229.6249753990291,283.2701951719115
tha,rus,235.13971876620212,237.51602912012143
tur,rus,146.45618792050053,201.18474327333632
urd,rus,257.9103675386721,289.3847576505253
vie,rus,201.7534760802459,231.53102673779657
yor,rus,365.91847213007213,260.0364095828628
tam,rus,395.8196911830111,360.7328484583484
eng,dut,165.9887796864955,241.03273993946877
fre,dut,153.35379834801972,200.81280141118185
por,dut,136.35287944821195,202.13019483597546
spa,dut,135.2969289084716,216.07634150860596
ger,dut,109.86627766114482,187.67569399492393
gre,dut,130.20212793228896,194.16224718376398
hin,dut,150.49655240576772,207.08766871134398
ita,dut,105.87918044678678,182.03995709054567
jpn,dut,140.81671690099475,211.58264389959808
ind,dut,149.7713716671415,191.00327433924937
mal,dut,152.5465187723274,174.90178201832921
pan,dut,147.6134102407537,167.8525905528185
pol,dut,100.67304616199216,167.80073776694906
fas,dut,117.6822803875936,176.92076373728509
tgl,dut,163.9030923540903,168.81260259905505
tel,dut,165.38738620870362,179.09604204473624
tha,dut,135.9989589306867,152.7036026476591
tur,dut,130.34260459614813,191.4434526296648
urd,dut,150.80977790444283,208.78006084332443
rus,dut,129.2631014756148,199.97856018717795
kor,dut,149.21429123639308,204.01536308675495
rum,dut,135.91803631558128,194.38185821140564
vie,dut,118.59243091835295,173.75348380714865
guj,dut,153.52929527718055,202.24948341287867
yor,dut,188.72249257084562,165.03488453407127
tam,dut,262.7662618145623,300.3607077534275
mar,dut,173.7048336842166,185.39934566610552
kan,dut,190.72425381242854,202.03015089414555
ibo,dut,234.6055976806223,249.6067055279813
nep,dut,234.6055976806223,249.6067055279813
por,kor,228.82207099638092,251.18789576178523
spa,kor,237.5093403946763,277.7860377503515
mal,kor,191.93089853790394,230.61329778703532
pan,kor,192.70151135521834,224.29728684307997
pol,kor,203.26523218785218,228.90549709035068
tgl,kor,259.133474650828,205.96136430013527
tel,kor,198.25797131377917,235.1881306721949
tha,kor,193.01779937491258,207.02264687292208
tur,kor,194.93955979100517,247.05260289232692
urd,kor,212.2162201078854,261.2822606294553
rus,kor,201.1184696804291,252.47902270454128
rum,kor,220.60232927990964,257.20631912417963
vie,kor,171.96222691574982,223.88653617457405
yor,kor,333.41844278380745,254.03889787629015
tam,kor,353.3832035003801,344.8229753662175
mar,kor,203.54878690544183,250.86126316959871
nep,kor,349.4843172115003,353.0978159647795
spa,rum,339.45864884869724,297.702724585715
tgl,rum,338.1389645275627,235.7094363925381
tel,rum,216.78463240845036,275.2184375985403
tha,rum,249.9843141099136,240.33079752189772
tur,rum,150.62656429602063,205.03278494849022
urd,rum,238.625337178626,287.9383966054155
rus,rum,134.1753971934562,197.56096347035816
vie,rum,223.06123732868474,235.65280968890275
yor,rum,421.47817694700296,278.1556209516201
tam,rum,416.187902640483,377.94054930462977
yor,vie,240.06755880856943,219.95341750560505
por,guj,249.8944782975487,258.5280542265576
spa,guj,276.1553870161372,324.34293708913384
hin,guj,169.9551100712427,231.92744471764104
ita,guj,185.5503510828123,262.410772798353
jpn,guj,201.3502015653764,268.3687398439007
ind,guj,182.9511159494502,230.06636722843228
mal,guj,158.23192337127853,214.3424401325555
pan,guj,158.6825692168933,205.44494572421007
pol,guj,215.09684788504677,271.88676524521304
tgl,guj,245.84297100848332,201.84368230685055
tel,guj,163.78949910987012,214.52728461702125
tha,guj,179.24823119797446,192.43733198406443
tur,guj,214.34824706682716,273.0513092388073
urd,guj,168.5495271892262,236.01288627934426
rus,guj,240.38322814356383,304.0013058442422
kor,guj,207.3100131321337,269.38543814760624
rum,guj,230.49588605741047,293.75361374241083
vie,guj,200.14431688574305,240.97877215117876
yor,guj,321.57060490824773,279.67606083741373
tam,guj,316.64590746339456,318.80348755023414
mar,guj,166.71658774642162,216.97597394233682
kan,guj,168.85731517014412,168.89365523117817
ibo,guj,364.5057585530888,376.25250978936526
nep,guj,364.5057585530888,376.25250978936526
eng,bul,291.3944413951529,281.4834496337044
fre,bul,297.2713041327541,286.4955883610178
por,bul,246.10529554884036,240.90279178882537
spa,bul,287.16442766968805,256.93474460478063
ger,bul,169.53146067528778,183.1287980152617
gre,bul,165.5871796866112,184.8511384799939
hin,bul,242.690450443036,255.43925787440332
ita,bul,165.9190944716227,187.31837739913576
jpn,bul,235.12959885132355,228.6435193717551
ind,bul,242.9180362069282,258.0518968044162
mal,bul,219.23126555494187,220.80579559589543
pan,bul,224.9215808905304,231.2114620623252
pol,bul,139.45931251120237,149.53945723469232
fas,bul,197.1067181694235,180.65995982570374
tgl,bul,223.4292150824027,182.4358633636087
tel,bul,238.02783202513595,260.40659823487425
tha,bul,196.75785898194607,191.93448336267718
tur,bul,156.5497499093384,173.88468379003925
urd,bul,264.9852400539323,264.42278359719535
rus,bul,157.58035659404473,180.02107135063312
dut,bul,162.25147194478836,192.88001600931457
kor,bul,251.18031583101794,243.59559969101545
rum,bul,177.39939692858997,184.67521990301094
vie,bul,211.20755505069354,213.1599695448618
guj,bul,260.9000900506413,276.1348890141276
yor,bul,294.01349772951005,244.08005144654638
chi,bul,232.14810695092586,249.6586246528748
tam,bul,361.58031927933695,353.0122227355009
mar,bul,198.05723920798815,216.18658477252748
kan,bul,186.13605016193333,183.06868736892736
ibo,bul,303.96384043432727,297.7624732203104
nep,bul,303.96384043432727,297.7624732203104
eng,chi,226.61680405511578,276.2860120132789
fre,chi,232.36045333679115,289.6706216970465
por,chi,225.0080807865208,244.10919840993546
spa,chi,215.44571384246458,273.3164711420181
ger,chi,147.74098164159506,239.90459877287464
gre,chi,207.40473656641694,250.05656782170857
hin,chi,177.57688473948195,244.37618341328488
ita,chi,162.8792631923332,226.5385647945876
jpn,chi,142.89660374588252,219.29745743184074
ind,chi,142.33513464668462,186.77887701196812
mal,chi,166.5303917279056,209.28221250923073
pan,chi,166.51100807172872,207.29798567582336
pol,chi,175.19129265846172,225.79078003940296
fas,chi,189.27639524384756,221.4451437898523
tgl,chi,169.8112509576403,177.0909588322654
tel,chi,174.64522407108453,220.5196108479136
tha,chi,127.1343206130604,154.77109167537
tur,chi,186.3626409416562,242.45930762298912
urd,chi,186.52199277240592,258.11942000653823
rus,chi,189.7654382499526,264.18065908026455
dut,chi,144.56550833790115,179.71367447397174
kor,chi,147.02871587004358,233.0419451907422
rum,chi,186.25773334552053,264.07141614474926
vie,chi,139.24678846656883,196.50203120346728
guj,chi,185.11004196709032,255.18979355122335
yor,chi,275.1243085522551,235.0382979356338
tam,chi,347.69708444486895,324.6435833024556
mar,chi,181.8073319612375,245.8013072484399
kan,chi,181.7602514822116,185.0472366304728
ibo,chi,313.8422570000468,321.0952158309613
nep,chi,313.8422570000468,321.0952158309613
tgl,tam,335.0724721918856,284.60200792590297
tel,tam,233.07583850059,267.0081817376746
tha,tam,219.33747383371596,223.96304081208703
tur,tam,354.79765170859514,328.46355276952386
urd,tam,288.4418695867742,280.7671026981805
vie,tam,293.65867036219294,306.8082784079989
yor,tam,215.52811453614328,234.4723783170835
por,mar,228.0947785841225,242.96667082400015
spa,mar,245.63879400099788,268.280004578164
pan,mar,142.61114049886396,195.84107625313428
pol,mar,179.84943913538535,209.0363023972134
tgl,mar,151.55350690120602,159.76028739184252
tel,mar,148.3915919218909,214.80134502139123
tha,mar,128.66247006662834,150.13721550560803
tur,mar,192.22128319425175,204.71585642485294
urd,mar,157.46211211606825,231.82252162857887
rus,mar,219.4668840764207,242.16963240901345
rum,mar,210.75603322277357,233.749392022661
vie,mar,180.44418430836976,220.45184726802702
yor,mar,213.27693803933562,221.34083768544468
tam,mar,213.73299210935082,293.3478172448413
nep,mar,280.1269538485008,312.6231780576441
por,kan,227.7535208676635,229.79346867212533
spa,kan,243.1922760661144,243.94438398111507
mal,kan,135.99200269712256,136.0779621413631
pan,kan,141.5567117481664,141.63338527256812
pol,kan,177.0207445175155,177.01868777859798
tgl,kan,125.27969752826388,118.63133428625541
tel,kan,148.4967693440096,148.51539332390078
tha,kan,111.75323244819637,109.26134166693723
tur,kan,192.73269100009253,193.3295812350697
urd,kan,156.45459993784252,156.52093550665134
rus,kan,218.97573410324884,221.8166047106841
kor,kan,204.51513084862293,206.59228203249359
rum,kan,207.1657920336434,206.43315239490704
vie,kan,175.6021311002475,177.7375930731137
yor,kan,158.91465604609394,154.2987134371155
tam,kan,111.8996013798132,113.70176441507937
mar,kan,147.805136271126,147.80440575
nep,kan,182.5763661904762,182.5763661904762
por,ibo,349.7827880466824,354.88202641468644
spa,ibo,410.4306905264562,410.6082865579305
ita,ibo,287.717869466187,292.7473962110279
jpn,ibo,307.52411305992604,309.4567627536734
ind,ibo,304.52516774345037,306.460530325725
mal,ibo,250.97355238185352,259.48308196795756
pan,ibo,261.71579268688816,269.497551107941
pol,ibo,335.99750257830556,337.5358593804174
tgl,ibo,295.7011808093075,275.6611695401002
tel,ibo,277.8749262115319,293.730353589169
tha,ibo,242.43601656123064,234.43729382894736
tur,ibo,368.3542933224258,371.8392167540896
urd,ibo,355.90761145425904,363.93714621122155
rus,ibo,379.1131497080657,382.47316887607354
kor,ibo,349.4843172115003,353.0978159647795
rum,ibo,428.7128101883229,429.1551516501247
vie,ibo,258.0573379540231,263.8508218664043
yor,ibo,171.3827303244666,171.29446043734336
tam,ibo,182.5763661904762,182.5763661904762
mar,ibo,280.1269538485008,312.6231780576441
kan,ibo,182.5763661904762,182.5763661904762
nep,ibo,NaN,NaN
por,nep,349.7827880466824,354.88202641468644
spa,nep,410.4306905264562,410.6082865579305
pan,nep,261.71579268688816,269.497551107941
pol,nep,335.99750257830556,337.5358593804174
tgl,nep,295.7011808093075,275.6611695401002
tel,nep,277.8749262115319,293.730353589169
tha,nep,242.43601656123064,234.43729382894736
tur,nep,368.3542933224258,371.8392167540896
urd,nep,355.90761145425904,363.93714621122155
rus,nep,379.1131497080657,382.47316887607354
rum,nep,428.7128101883229,429.1551516501247
vie,nep,258.0573379540231,263.8508218664043
yor,nep,171.3827303244666,171.29446043734336
tam,nep,182.5763661904762,182.5763661904762
