lang1_ETS,lang2_ETS,eco_dist
ibo,bul,4.385711805509554
ind,bul,4.980444013081325
ita,bul,0.7183732617716632
jpn,bul,1.1539629111091614
kan,bul,3.083475590574745
kor,bul,1.8478321040293466
mal,bul,4.225169899752811
mar,bul,3.208513331957248
nep,bul,2.944723990403507
pan,bul,2.9457329928382996
pol,bul,0.4723856047611374
por,bul,1.466317736949047
rum,bul,0.5536521226054643
rus,bul,1.5427473408020942
spa,bul,0.7170454619316995
tgl,bul,3.829732098446422
tam,bul,3.1300215677945373
tel,bul,3.2959568675674107
tha,bul,3.4434078523687
tur,bul,0.513373279288609
urd,bul,3.5474599742395774
vie,bul,2.761287379523357
yor,bul,3.296911965093335
fas,bul,1.8768101121344012
ara,chi,2.20746779508594
ben,chi,3.467623459318933
bul,chi,2.8510814727040352
chi,chi,0
dut,chi,3.476729332839997
eng,chi,3.7092740668236086
fre,chi,3.5727898745386164
ger,chi,2.9416410479607102
gre,chi,2.913182631601446
guj,chi,2.872299258562104
hin,chi,2.4082367173549435
ibo,chi,5.145260337415392
ind,chi,5.755422142022173
ita,chi,3.2076099709759123
jpn,chi,2.7990767050337615
kan,chi,3.541556789910643
kor,chi,1.4167295886360955
mal,chi,4.8341692148967
mar,chi,3.18674254337582
nep,chi,2.7649942937347354
pan,chi,2.062254642102162
pol,chi,2.6396150486673253
por,chi,2.8485832516512333
rum,chi,2.5228007090075955
rus,chi,2.7824807133806706
spa,chi,2.962133167938374
tgl,chi,4.73314018532737
tam,chi,3.966514135116486
tel,chi,3.2406770581078557
tha,chi,4.060339715805201
tur,chi,2.5679895529631427
urd,chi,2.8062846364600973
vie,chi,3.12946312679068
yor,chi,4.221355193370943
fas,chi,1.588361749763914
ara,dut,2.5761828104278304
ben,dut,2.913287599417613
bul,dut,1.058787652812915
chi,dut,3.476729332839997
dut,dut,0
eng,dut,0.31846368441797623
fre,dut,0.3205587049379293
ger,dut,0.678866259725837
gre,dut,0.9662714806390963
guj,dut,3.967943404452811
hin,dut,3.7880218983739216
ibo,dut,3.915307046276132
ind,dut,4.459428556241128
ita,dut,0.4698394337151364
jpn,dut,1.4762569795901914
kan,dut,2.8449493617225405
kor,dut,2.4673481985349723
mal,dut,3.7933119352711353
mar,dut,3.1213693435025345
nep,dut,2.800780971486166
pan,dut,3.3047464843341903
pol,dut,1.0812267567247507
por,dut,1.1714976231542198
rum,dut,1.0779548797699412
rus,dut,2.2257347886057235
spa,dut,0.632571152259123
tgl,dut,3.358190572537099
tam,dut,2.881904615443148
tel,dut,3.2407837413801985
tha,dut,3.1207649993141837
tur,dut,1.079726263946475
urd,dut,3.6695891801768306
vie,dut,2.6632502580122663
yor,dut,2.8856945409082018
fas,dut,2.317106136134798
ara,eng,2.678134543354966
ben,eng,3.0574164733800657
bul,eng,1.211661923479607
chi,eng,3.7092740668236086
dut,eng,0.31846368441797623
eng,eng,0
fre,eng,0.2813433394019407
ger,eng,0.933975419441399
gre,eng,1.1043233354457644
guj,eng,4.0858237190144076
hin,eng,3.9465773400558737
ibo,eng,4.031955991588736
ind,eng,4.594108203163857
ita,eng,0.6947849104703533
jpn,eng,1.736890663581185
kan,eng,2.867035649251387
kor,eng,2.748016130205132
mal,eng,3.910530474117766
mar,eng,3.214676263930271
nep,eng,3.021134929725642
pan,eng,3.444023045716563
pol,eng,1.2721244702761354
por,eng,1.3569646879619983
rum,eng,1.2948464165328548
rus,eng,2.4121548887596767
spa,eng,0.7724648173293683
tgl,eng,3.447112771578631
tam,eng,2.887970468620259
tel,eng,3.3161833126953226
tha,eng,3.175648771734891
tur,eng,1.2415367962709913
urd,eng,3.7609296367770946
vie,eng,2.820446064108461
yor,eng,2.91085299582723
fas,eng,2.4736045687020085
ara,fre,2.5228772995881075
ben,fre,3.012900653340457
bul,fre,0.9653979038332978
chi,fre,3.5727898745386164
dut,fre,0.3205587049379293
eng,fre,0.2813433394019407
fre,fre,0
ger,fre,0.7771132008091111
gre,fre,0.8567220719574445
guj,fre,4.048742484649237
hin,fre,3.882846453789177
ibo,fre,4.045379090856861
ind,fre,4.616594617564402
ita,fre,0.48222921184931494
jpn,fre,1.5288493846413436
kan,fre,2.897282394168906
kor,fre,2.576614916230346
mal,fre,3.922668040855865
mar,fre,3.1962550583793155
nep,fre,2.991969434511127
pan,fre,3.342569057168838
pol,fre,1.0981914054051192
por,fre,1.3214347197233025
rum,fre,1.1324137879970346
rus,fre,2.2409401755595604
spa,fre,0.6648007116426826
tgl,fre,3.4639537767264175
tam,fre,2.8879747851172266
tel,fre,3.297332832464349
tha,fre,3.1877122332054637
tur,fre,1.0754664221661818
urd,fre,3.72756538378624
vie,fre,2.760244717936033
yor,fre,2.9403595547539045
fas,fre,2.371100408801005
ara,ger,2.347302859022387
ben,ger,3.011540599637756
bul,ger,0.6126739682834038
chi,ger,2.9416410479607102
dut,ger,0.678866259725837
eng,ger,0.933975419441399
fre,ger,0.7771132008091111
ger,ger,0
gre,ger,0.6042000019872231
guj,ger,3.8894660880228784
hin,ger,3.630843759615253
ibo,ger,4.179350084148731
ind,ger,4.711528531145577
ita,ger,0.5161135917960336
jpn,ger,1.1686594733034823
kan,ger,3.0458860000184274
kor,ger,1.8768741825551294
mal,ger,4.038211432833748
mar,ger,3.1954729908156305
nep,ger,2.74211949254361
pan,ger,3.0995160410936204
pol,ger,0.48308389162632054
por,ger,1.251355463272492
rum,ger,0.47873098981071555
rus,ger,1.6051215849739267
spa,ger,0.5252076026183333
tgl,ger,3.65843193851099
tam,ger,3.148251564370532
tel,ger,3.3149637120884226
tha,ger,3.3735688964420305
tur,ger,0.6300242218159008
urd,ger,3.6090964770586034
vie,ger,2.71025280807443
yor,ger,3.2109680207217632
fas,ger,1.9867092670454083
ara,gre,1.9911392005606317
ben,gre,3.01185347359378
bul,gre,0.14210677300024052
chi,gre,2.913182631601446
dut,gre,0.9662714806390963
eng,gre,1.1043233354457644
fre,gre,0.8567220719574445
ger,gre,0.6042000019872231
gre,gre,0
guj,gre,3.803309406013777
hin,gre,3.561098751909589
ibo,gre,4.310956853824804
ind,gre,4.918998271340315
ita,gre,0.6284654319307594
jpn,gre,1.1694121301095093
kan,gre,2.979712296243375
kor,gre,1.9326155272613548
mal,gre,4.14736048177533
mar,gre,3.1285097184743496
nep,gre,2.9065493027170253
pan,gre,2.915679375790853
pol,gre,0.5301454557078288
por,gre,1.3820014280275725
rum,gre,0.5935787107320497
rus,gre,1.6746409339540533
spa,gre,0.6270887770319997
tgl,gre,3.7412714781581435
tam,gre,3.0184100055889047
tel,gre,3.2139003159801147
tha,gre,3.3423652685220113
tur,gre,0.5039830552534043
urd,gre,3.489157699025575
vie,gre,2.6954358844676984
yor,gre,3.185930967287307
fas,gre,1.8679193770603273
ara,guj,2.2263510934159902
ben,guj,2.2330139072411264
bul,guj,3.8545790032803997
chi,guj,2.872299258562104
dut,guj,3.967943404452811
eng,guj,4.0858237190144076
fre,guj,4.048742484649237
ger,guj,3.8894660880228784
gre,guj,3.803309406013777
guj,guj,0
hin,guj,0.6107367066059698
ibo,guj,3.9245398854412663
ind,guj,4.798488677351442
ita,guj,3.8061429285691735
jpn,guj,3.6352302828315657
kan,guj,1.7361112596784352
kor,guj,3.3709931274145175
mal,guj,3.4505043196477208
mar,guj,1.2150948123935217
nep,guj,2.1771501820369745
pan,guj,1.1540018876779623
pol,guj,3.807410310295422
por,guj,2.8696243115252273
rum,guj,3.6501784113835285
rus,guj,4.789108272978864
spa,guj,3.609499486412198
tgl,guj,3.409934868681133
tam,guj,2.250491655771118
tel,guj,1.1128763633975087
tha,guj,2.251959763992219
tur,guj,3.5288851087341553
urd,guj,0.5277444825002882
vie,guj,2.108116790062732
yor,guj,2.583261495982117
fas,guj,2.250734339575902
ara,hin,2.03748623820275
ben,hin,2.058731292712532
bul,hin,3.594969318852153
chi,hin,2.4082367173549435
dut,hin,3.7880218983739216
eng,hin,3.9465773400558737
fre,hin,3.882846453789177
ger,hin,3.630843759615253
gre,hin,3.561098751909589
guj,hin,0.6107367066059698
hin,hin,0
ibo,hin,3.7996583586149826
ind,hin,4.621621230057432
ita,hin,3.581165310411118
jpn,hin,3.272328122705603
kan,hin,1.966753900446179
kor,hin,2.8872667991359364
mal,hin,3.352020161147808
mar,hin,1.3212650351271371
nep,hin,1.8355695806496128
pan,hin,0.9007933617158954
pol,hin,3.540400757334233
por,hin,2.6707199215034088
rum,hin,3.3756679878743308
rus,hin,4.425702516132323
spa,hin,3.421213345482663
tgl,hin,3.336959591424282
tam,hin,2.3968771017557544
tel,hin,1.325194685240054
tha,hin,2.3399561597534047
tur,hin,3.2917465119388902
urd,hin,0.9149819604352053
vie,hin,1.8869371915373327
yor,hin,2.6713863207618873
fas,hin,2.001108926162569
ara,ibo,4.232852074941647
ben,ibo,1.9067152745583846
bul,ibo,4.385711805509554
chi,ibo,5.145260337415392
dut,ibo,3.915307046276132
eng,ibo,4.031955991588736
fre,ibo,4.045379090856861
ger,ibo,4.179350084148731
gre,ibo,4.310956853824804
guj,ibo,3.9245398854412663
hin,ibo,3.7996583586149826
ibo,ibo,0
ind,ibo,1.0103119548261845
ita,ibo,3.8397760259084617
jpn,ibo,3.522248904775634
kan,ibo,3.192600555645922
kor,ibo,4.425607165549749
mal,ibo,0.49402718032204673
mar,ibo,2.953496821242164
nep,ibo,2.4860161122155393
pan,ibo,4.048418535413163
pol,ibo,4.507400903066429
por,ibo,3.192634148316943
rum,ibo,4.37184602466591
rus,ibo,5.502704401408994
spa,ibo,4.1629053143274986
tgl,ibo,0.7857236675780647
tam,ibo,2.7152515957775103
tel,ibo,3.1904918237106172
tha,ibo,2.0994279744530373
tur,ibo,4.387938652958529
urd,ibo,4.058252896332496
vie,ibo,2.2274248003650876
yor,ibo,2.1083887035410465
fas,ibo,4.371841084919339
ara,ind,5.074700690517346
ben,ind,2.798950190654515
bul,ind,4.980444013081325
chi,ind,5.755422142022173
dut,ind,4.459428556241128
eng,ind,4.594108203163857
fre,ind,4.616594617564402
ger,ind,4.711528531145577
gre,ind,4.918998271340315
guj,ind,4.798488677351442
hin,ind,4.621621230057432
ibo,ind,1.0103119548261845
ind,ind,0
ita,ind,4.409110193481222
jpn,ind,4.044804263585232
kan,ind,4.1245555905972084
kor,ind,4.934248751455544
mal,ind,1.4558724776200471
mar,ind,3.882592558810471
nep,ind,3.1349988280900103
pan,ind,4.903995067555982
pol,ind,5.07957905639561
por,ind,3.872471727133565
rum,ind,4.949885147030203
rus,ind,5.941413067476674
spa,ind,4.779809317405672
tgl,ind,1.746706037312088
tam,ind,3.693211888490139
tel,ind,4.134267746572079
tha,ind,3.0824320414439503
tur,ind,5.015171853772111
urd,ind,4.959692009213429
vie,ind,3.08232451294475
yor,ind,3.068377551367401
fas,ind,5.123652626799713
ara,ita,2.2672012414539116
ben,ita,2.7296780455217724
bul,ita,0.7183732617716632
chi,ita,3.2076099709759123
dut,ita,0.4698394337151364
eng,ita,0.6947849104703533
fre,ita,0.48222921184931494
ger,ita,0.5161135917960336
gre,ita,0.6284654319307594
guj,ita,3.8061429285691735
hin,ita,3.581165310411118
ibo,ita,3.8397760259084617
ind,ita,4.409110193481222
ita,ita,0
jpn,ita,1.0599115860964516
kan,ita,2.805612798242734
kor,ita,2.1440371384778194
mal,ita,3.708460794591973
mar,ita,2.9874428017102383
nep,ita,2.6488599696269715
pan,ita,3.0516816181898636
pol,ita,0.8747584375737502
por,ita,1.0552872205767123
rum,ita,0.8575421775592086
rus,ita,2.0413849700641875
spa,ita,0.5850730568559551
tgl,ita,3.2882059442307914
tam,ita,2.791758198414124
tel,ita,3.109603054665957
tha,ita,3.036360464001544
tur,ita,0.861192596396226
urd,ita,3.5238060587813456
vie,ita,2.4551573759872514
yor,ita,2.8380921297252306
fas,ita,2.1040671353609177
ara,jpn,2.1465729732767795
ben,jpn,2.3851008595488166
bul,jpn,1.1539629111091614
chi,jpn,2.7990767050337615
dut,jpn,1.4762569795901914
eng,jpn,1.736890663581185
fre,jpn,1.5288493846413436
ger,jpn,1.1686594733034823
gre,jpn,1.1694121301095093
guj,jpn,3.6352302828315657
hin,jpn,3.272328122705603
ibo,jpn,3.522248904775634
ind,jpn,4.044804263585232
ita,jpn,1.0599115860964516
jpn,jpn,0
kan,jpn,3.005004784566541
kor,jpn,1.5504510964331493
mal,jpn,3.4063273862025727
mar,jpn,2.9024538863588774
nep,jpn,2.2511971908775728
pan,jpn,2.7971942312082154
pol,jpn,1.3316698564438785
por,jpn,1.300497542361551
rum,jpn,1.247515835615083
rus,jpn,2.075440344455649
spa,jpn,1.4347865090976122
tgl,jpn,3.0897281845139783
tam,jpn,2.8977953244462284
tel,jpn,3.068244179218653
tha,jpn,2.997919776374885
tur,jpn,1.3592902185203297
urd,jpn,3.4688171990400196
vie,jpn,2.1017066989225412
yor,jpn,2.908719509808848
fas,jpn,2.096349723825812
ara,kan,2.0895389147936716
ben,kan,1.6857085694413767
bul,kan,3.083475590574745
chi,kan,3.541556789910643
dut,kan,2.8449493617225405
eng,kan,2.867035649251387
fre,kan,2.897282394168906
ger,kan,3.0458860000184274
gre,kan,2.979712296243375
guj,kan,1.7361112596784352
hin,kan,1.966753900446179
ibo,kan,3.192600555645922
ind,kan,4.1245555905972084
ita,kan,2.805612798242734
jpn,kan,3.005004784566541
kan,kan,0
kor,kan,3.429612347500238
mal,kan,2.772959120667547
mar,kan,0.7994644318446131
nep,kan,2.058616964426143
pan,kan,1.8822252014521608
pol,kan,3.1117518157096704
por,kan,1.9071577854185837
rum,kan,2.9803542420303457
rus,kan,4.38041973726259
spa,kan,2.6647305004837483
tgl,kan,2.4758209955512287
tam,kan,0.8748716905178527
tel,kan,0.7489084153320635
tha,kan,1.180459698281087
tur,kan,2.8093961491157784
urd,kan,1.4631946909317473
vie,kan,1.591863554067697
yor,kan,1.2457190286777315
fas,kan,2.205910947577965
ara,kor,2.1430546939495767
ben,kor,2.9927589585107
bul,kor,1.8478321040293466
chi,kor,1.4167295886360955
dut,kor,2.4673481985349723
eng,kor,2.748016130205132
fre,kor,2.576614916230346
ger,kor,1.8768741825551294
gre,kor,1.9326155272613548
guj,kor,3.3709931274145175
hin,kor,2.8872667991359364
ibo,kor,4.425607165549749
ind,kor,4.934248751455544
ita,kor,2.1440371384778194
jpn,kor,1.5504510964331493
kan,kor,3.429612347500238
kor,kor,0
mal,kor,4.219124076526303
mar,kor,3.154846880617216
nep,kor,2.3641610218093896
pan,kor,2.460630114755922
pol,kor,1.6878816181482867
por,kor,2.055181868531396
rum,kor,1.5714015527691507
rus,kor,1.8167587683608273
spa,kor,2.097328710101108
tgl,kor,4.049395134968283
tam,kor,3.6372139184253904
tel,kor,3.288797279332172
tha,kor,3.7006528258474827
tur,kor,1.733777313541405
urd,kor,3.266485129976252
vie,kor,2.651433105605565
yor,kor,3.7571010561181843
fas,kor,1.642082652444681
ara,mal,3.8939227796362044
ben,mal,1.5214504058684841
bul,mal,4.225169899752811
chi,mal,4.8341692148967
dut,mal,3.7933119352711353
eng,mal,3.910530474117766
fre,mal,3.922668040855865
ger,mal,4.038211432833748
gre,mal,4.14736048177533
guj,mal,3.4505043196477208
hin,mal,3.352020161147808
ibo,mal,0.49402718032204673
ind,mal,1.4558724776200471
ita,mal,3.708460794591973
jpn,mal,3.4063273862025727
kan,mal,2.772959120667547
kor,mal,4.219124076526303
mal,mal,0
mar,mal,2.499069106055076
nep,mal,2.158792443720367
pan,mal,3.6338140400489425
pol,mal,4.332709125730853
por,mal,2.963364371491196
rum,mal,4.188350880946505
rus,mal,5.375003471874159
spa,mal,3.978199752141988
tgl,mal,0.5800725943268039
tam,mal,2.3350619823837744
tel,mal,2.7325766731587406
tha,mal,1.6754218717069087
tur,mal,4.184874465002306
urd,mal,3.593584295581112
vie,mal,1.8667182971453744
yor,mal,1.748819241137166
fas,mal,4.036776269559745
ara,mar,1.9655806832649318
ben,mar,1.2364671873621953
bul,mar,3.208513331957248
chi,mar,3.18674254337582
dut,mar,3.1213693435025345
eng,mar,3.214676263930271
fre,mar,3.1962550583793155
ger,mar,3.1954729908156305
gre,mar,3.1285097184743496
guj,mar,1.2150948123935217
hin,mar,1.3212650351271371
ibo,mar,2.953496821242164
ind,mar,3.882592558810471
ita,mar,2.9874428017102383
jpn,mar,2.9024538863588774
kan,mar,0.7994644318446131
kor,mar,3.154846880617216
mal,mar,2.499069106055076
mar,mar,0
nep,mar,1.5904609697058714
pan,mar,1.4311217081772276
pol,mar,3.237727813658704
por,mar,2.0164655926836037
rum,mar,3.0838519031052356
rus,mar,4.398394782160367
spa,mar,2.9058769699886664
tgl,mar,2.3286693479292477
tam,mar,1.1186134385093083
tel,mar,0.2837803606686864
tha,mar,1.1008926786020625
tur,mar,2.9558819356617074
urd,mar,1.1472116762566467
vie,mar,1.1435818602634051
yor,mar,1.3896913218741016
fas,mar,2.12412581564371
ara,nep,2.4807282686344454
ben,nep,1.1580654076525436
bul,nep,2.944723990403507
chi,nep,2.7649942937347354
dut,nep,2.800780971486166
eng,nep,3.021134929725642
fre,nep,2.991969434511127
ger,nep,2.74211949254361
gre,nep,2.9065493027170253
guj,nep,2.1771501820369745
hin,nep,1.8355695806496128
ibo,nep,2.4860161122155393
ind,nep,3.1349988280900103
ita,nep,2.6488599696269715
jpn,nep,2.2511971908775728
kan,nep,2.058616964426143
kor,nep,2.3641610218093896
mal,nep,2.158792443720367
mar,nep,1.5904609697058714
nep,nep,0
pan,nep,2.0699409490942795
pol,nep,2.880432093318225
por,nep,1.7068282567807622
rum,nep,2.697144625376626
rus,nep,3.7958745895879527
spa,nep,2.7012945350242252
tgl,nep,2.142431891427414
tam,nep,2.2220859246468048
tel,nep,1.855777206991129
tha,nep,1.8631058448984767
tur,nep,2.733601561353661
urd,nep,2.2854671250154146
vie,nep,1.021735331900994
yor,nep,2.0495315019607596
fas,nep,2.2077000827339166
ara,pan,1.1768583165596123
ben,pan,2.153938965212112
bul,pan,2.9457329928382996
chi,pan,2.062254642102162
dut,pan,3.3047464843341903
eng,pan,3.444023045716563
fre,pan,3.342569057168838
ger,pan,3.0995160410936204
gre,pan,2.915679375790853
guj,pan,1.1540018876779623
hin,pan,0.9007933617158954
ibo,pan,4.048418535413163
ind,pan,4.903995067555982
ita,pan,3.0516816181898636
jpn,pan,2.7971942312082154
kan,pan,1.8822252014521608
kor,pan,2.460630114755922
mal,pan,3.6338140400489425
mar,pan,1.4311217081772276
nep,pan,2.0699409490942795
pan,pan,0
pol,pan,2.937578215463419
por,pan,2.3028164020212487
rum,pan,2.7961826839448203
rus,pan,3.8257332245346993
spa,pan,2.8615833998703084
tgl,pan,3.4891533669447585
tam,pan,2.251450643162612
tel,pan,1.3815174034143571
tha,pan,2.4343868934337998
tur,pan,2.668180086526896
urd,pan,1.0008740295371403
vie,pan,1.87699055033602
yor,pan,2.669726046964022
fas,pan,1.3664690495271012
ara,pol,2.128463394086865
ben,pol,3.1824798840761948
bul,pol,0.4723856047611374
chi,pol,2.6396150486673253
dut,pol,1.0812267567247507
eng,pol,1.2721244702761354
fre,pol,1.0981914054051192
ger,pol,0.48308389162632054
gre,pol,0.5301454557078288
guj,pol,3.807410310295422
hin,pol,3.540400757334233
ibo,pol,4.507400903066429
ind,pol,5.07957905639561
ita,pol,0.8747584375737502
jpn,pol,1.3316698564438785
kan,pol,3.1117518157096704
kor,pol,1.6878816181482867
mal,pol,4.332709125730853
mar,pol,3.237727813658704
nep,pol,2.880432093318225
pan,pol,2.937578215463419
pol,pol,0
por,pol,1.4589662560888683
rum,pol,0.18900985139723228
rus,pol,1.344007954473448
spa,pol,0.6363034396058345
tgl,pol,3.9661319461868842
tam,pol,3.2758348802662436
tel,pol,3.3293559694120853
tha,pol,3.5524337786306424
tur,pol,0.338903491492209
urd,pol,3.504865596582657
vie,pol,2.850659828658547
yor,pol,3.4247096018892327
fas,pol,1.733499939905171
ara,por,1.8745036958689685
ben,por,1.8549989558082802
bul,por,1.466317736949047
chi,por,2.8485832516512333
dut,por,1.1714976231542198
eng,por,1.3569646879619983
fre,por,1.3214347197233025
ger,por,1.251355463272492
gre,por,1.3820014280275725
guj,por,2.8696243115252273
hin,por,2.6707199215034088
ibo,por,3.192634148316943
ind,por,3.872471727133565
ita,por,1.0552872205767123
jpn,por,1.300497542361551
kan,por,1.9071577854185837
kor,por,2.055181868531396
mal,por,2.963364371491196
mar,por,2.0164655926836037
nep,por,1.7068282567807622
pan,por,2.3028164020212487
pol,por,1.4589662560888683
por,por,0
rum,por,1.312615641501182
rus,por,2.6947658968675574
spa,por,1.071653153050707
tgl,por,2.5997709960576727
tam,por,2.0191360403108356
tel,por,2.1699732713710413
tha,por,2.157846681832293
tur,por,1.270686954561573
urd,por,2.6372315674133637
vie,por,1.5694689483830255
yor,por,2.03777258081653
fas,por,1.621861520360994
ara,rum,2.036822955866636
ben,rum,3.0272903306957217
bul,rum,0.5536521226054643
chi,rum,2.5228007090075955
dut,rum,1.0779548797699412
eng,rum,1.2948464165328548
fre,rum,1.1324137879970346
ger,rum,0.47873098981071555
gre,rum,0.5935787107320497
guj,rum,3.6501784113835285
hin,rum,3.3756679878743308
ibo,rum,4.37184602466591
ind,rum,4.949885147030203
ita,rum,0.8575421775592086
jpn,rum,1.247515835615083
kan,rum,2.9803542420303457
kor,rum,1.5714015527691507
mal,rum,4.188350880946505
mar,rum,3.0838519031052356
nep,rum,2.697144625376626
pan,rum,2.7961826839448203
pol,rum,0.18900985139723228
por,rum,1.312615641501182
rum,rum,0
rus,rum,1.4388304915213628
spa,rum,0.612390001411497
tgl,rum,3.834346776382955
tam,rum,3.159588632253259
tel,rum,3.1824825360734654
tha,rum,3.41393449977557
tur,rum,0.30587556813355027
urd,rum,3.360000201505274
vie,rum,2.6930886610928066
yor,rum,3.2993874990454524
fas,rum,1.6022770905684403
ara,rus,3.059286500572644
ben,rus,4.26278624050285
bul,rus,1.5427473408020942
chi,rus,2.7824807133806706
dut,rus,2.2257347886057235
eng,rus,2.4121548887596767
fre,rus,2.2409401755595604
ger,rus,1.6051215849739267
gre,rus,1.6746409339540533
guj,rus,4.789108272978864
hin,rus,4.425702516132323
ibo,rus,5.502704401408994
ind,rus,5.941413067476674
ita,rus,2.0413849700641875
jpn,rus,2.075440344455649
kan,rus,4.38041973726259
kor,rus,1.8167587683608273
mal,rus,5.375003471874159
mar,rus,4.398394782160367
nep,rus,3.7958745895879527
pan,rus,3.8257332245346993
pol,rus,1.344007954473448
por,rus,2.6947658968675574
rum,rus,1.4388304915213628
rus,rus,0
spa,rus,1.9541880091860366
tgl,rus,5.066238424456621
tam,rus,4.553057026277263
tel,rus,4.49739236292194
tha,rus,4.781826407442704
tur,rus,1.6360373860009754
urd,rus,4.533862747310592
vie,rus,3.9250569660012937
yor,rus,4.687642903889636
fas,rus,2.6052057546307
ara,spa,2.089362958670331
ben,spa,2.8861322695365508
bul,spa,0.7170454619316995
chi,spa,2.962133167938374
dut,spa,0.632571152259123
eng,spa,0.7724648173293683
fre,spa,0.6648007116426826
ger,spa,0.5252076026183333
gre,spa,0.6270887770319997
guj,spa,3.609499486412198
hin,spa,3.421213345482663
ibo,spa,4.1629053143274986
ind,spa,4.779809317405672
ita,spa,0.5850730568559551
jpn,spa,1.4347865090976122
kan,spa,2.6647305004837483
kor,spa,2.097328710101108
mal,spa,3.978199752141988
mar,spa,2.9058769699886664
nep,spa,2.7012945350242252
pan,spa,2.8615833998703084
pol,spa,0.6363034396058345
por,spa,1.071653153050707
rum,spa,0.612390001411497
rus,spa,1.9541880091860366
spa,spa,0
tgl,spa,3.5704994896571356
tam,spa,2.8170433887747435
tel,spa,2.9943668699668153
tha,spa,3.1188604095093884
tur,spa,0.5012744513638588
urd,spa,3.2818472166151604
vie,spa,2.582208056554499
yor,spa,2.9452429936919216
fas,spa,1.7620056851881156
ara,tgl,3.599572964968218
ben,tgl,1.3640581687152658
bul,tgl,3.829732098446422
chi,tgl,4.73314018532737
dut,tgl,3.358190572537099
eng,tgl,3.447112771578631
fre,tgl,3.4639537767264175
ger,tgl,3.65843193851099
gre,tgl,3.7412714781581435
guj,tgl,3.409934868681133
hin,tgl,3.336959591424282
ibo,tgl,0.7857236675780647
ind,tgl,1.746706037312088
ita,tgl,3.2882059442307914
jpn,tgl,3.0897281845139783
kan,tgl,2.4758209955512287
kor,tgl,4.049395134968283
mal,tgl,0.5800725943268039
mar,tgl,2.3286693479292477
nep,tgl,2.142431891427414
pan,tgl,3.4891533669447585
pol,tgl,3.9661319461868842
por,tgl,2.5997709960576727
rum,tgl,3.834346776382955
rus,tgl,5.066238424456621
spa,tgl,3.5704994896571356
tgl,tgl,0
tam,tgl,1.9546339031705806
tel,tgl,2.549881809922976
tha,tgl,1.3894342345320363
tur,tgl,3.809935491805537
urd,tgl,3.468434502997302
vie,tgl,1.6746734824527647
yor,tgl,1.339828575705716
fas,tgl,3.785789466244393
ara,tam,2.254446062759455
ben,tam,1.396339909101632
bul,tam,3.1300215677945373
chi,tam,3.966514135116486
dut,tam,2.881904615443148
eng,tam,2.887970468620259
fre,tam,2.8879747851172266
ger,tam,3.148251564370532
gre,tam,3.0184100055889047
guj,tam,2.250491655771118
hin,tam,2.3968771017557544
ibo,tam,2.7152515957775103
ind,tam,3.693211888490139
ita,tam,2.791758198414124
jpn,tam,2.8977953244462284
kan,tam,0.8748716905178527
kor,tam,3.6372139184253904
