word,n,conc_tile
build,35,8
building,35,9
built,35,7
bus,35,10
business,35,7
busy,35,4
but,35,3
buy,35,7
by,35,1
call,35,8
came,35,2
can,35,9
cannot,35,4
cant,35,3
capable,35,3
capacity,35,6
car,35,10
care,35,4
career,35,4
careful,35,2
carefully,35,3
carry,35,8
case,35,8
cause,35,4
causing,35,1
cell,35,9
century,35,5
certain,35,1
certainly,35,2
challenge,35,3
chance,35,1
change,35,6
channel,35,9
character,35,6
characteristics,35,5
cheap,35,3
check,35,8
child,35,10
childhood,35,4
children,35,10
china,35,10
choice,35,2
choose,35,5
choosing,35,3
chose,35,4
circumstances,35,1
city,35,10
claim,35,6
class,35,8
classes,35,8
classroom,35,10
clean,35,6
clear,35,7
clearly,35,3
close,35,6
closer,35,6
clothes,35,10
club,35,8
coin,35,10
college,35,9
come,35,5
comes,35,4
comfort,35,6
comfortable,35,4
coming,35,3
commercial,35,6
common,35,3
communicate,35,7
communication,35,6
community,35,7
company,35,8
compare,35,4
competition,35,8
competitive,35,2
complete,35,5
completely,35,3
complex,35,2
complicated,35,3
computer,35,10
concentrate,35,4
concentration,35,3
concept,35,1
concern,35,1
concerned,35,2
concerning,35,1
conclude,35,1
conclusion,35,3
condition,35,3
confidence,35,3
confident,35,5
connect,35,6
connected,35,5
consequence,35,5
consequently,35,1
consider,35,1
consideration,35,2
considered,35,2
considering,35,1
constant,35,3
constantly,35,3
consumer,35,7
contact,35,8
content,35,5
context,35,3
continue,35,4
contrary,35,1
contrast,35,5
contribute,35,3
control,35,2
controversial,35,1
convenient,35,2
conversation,35,7
convince,35,2
convinced,35,3
cope,35,1
copy,35,8
correct,35,5
correctly,35,3
cost,35,4
could,35,1
count,35,6
country,35,9
couple,35,8
course,35,8
cousin,35,8
create,35,5
creative,35,2
creativity,35,2
credit,35,5
critical,35,3
crucial,35,3
cultural,35,3
culture,35,3
current,35,6
customer,35,8
cut,35,9
daily,35,6
damage,35,6
danger,35,5
dangerous,35,3
data,35,8
date,35,8
day,35,8
days,35,7
deal,35,6
dealing,35,4
death,35,8
debate,35,6
decide,35,2
decided,35,2
decision,35,3
decrease,35,5
deep,35,7
deeply,35,2
definitely,35,1
degree,35,6
demand,35,3
department,35,7
depend,35,2
dependent,35,4
depending,35,2
depth,35,6
design,35,7
desire,35,1
despite,35,1
destination,35,8
detail,35,4
determine,35,3
develop,35,2
development,35,4
did,35,4
difference,35,3
different,35,2
difficult,35,3
difficulty,35,2
direct,35,3
directed,35,4
direction,35,5
directly,35,4
disadvantage,35,2
disagree,35,5
discipline,35,3
discover,35,4
discovered,35,4
discuss,35,6
discussion,35,6
disease,35,7
distance,35,6
diverse,35,3
diversity,35,4
do,35,4
doctor,35,10
does,35,3
doing,35,5
done,35,2
doubt,35,2
down,35,7
draw,35,8
dream,35,5
drink,35,10
drive,35,8
driving,35,8
drugs,35,9
due,35,6
during,35,1
duty,35,3
each,35,3
early,35,3
earn,35,4
earning,35,6
earth,35,10
easier,35,1
easily,35,2
easy,35,3
eat,35,9
eating,35,8
economic,35,3
economical,35,3
economy,35,5
educated,35,3
education,35,6
educational,35,3
effect,35,2
effective,35,3
effectively,35,3
effects,35,5
efficient,35,2
efficiently,35,1
effort,35,4
either,35,2
electricity,35,8
electronic,35,7
else,35,1
employee,35,8
enable,35,3
encounter,35,6
encourage,35,5
encouraging,35,2
end,35,6
energy,35,6
engage,35,3
engineer,35,10
engineering,35,5
enhance,35,3
enjoy,35,4
enjoyable,35,3
enjoying,35,3
enjoyment,35,3
enough,35,1
ensure,35,1
enter,35,6
entertainment,35,6
entire,35,3
environment,35,8
environmental,35,5
equal,35,5
equally,35,1
era,35,3
especially,35,1
essay,35,8
essential,35,1
established,35,2
even,35,5
event,35,5
eventually,35,1
ever,35,1
every,35,4
everybody,35,6
everyday,35,4
everyone,35,6
everything,35,4
everywhere,35,2
evolution,35,5
exact,35,5
exactly,35,3
exam,35,9
example,35,6
excellent,35,3
exchange,35,5
exciting,35,2
exercise,35,8
exist,35,4
existing,35,2
expand,35,7
expect,35,2
expenses,35,7
expensive,35,6
experience,35,2
experienced,35,1
experiment,35,7
expert,35,5
explain,35,2
explore,35,6
exploring,35,5
exposed,35,5
exposure,35,4
express,35,3
extended,35,4
extent,35,1
extra,35,4
extremely,35,2
eye,35,10
eyes,35,10
face,35,10
faced,35,5
facilities,35,8
facing,35,7
fact,35,5
factor,35,5
fail,35,6
failure,35,3
fair,35,4
fall,35,8
false,35,4
familiar,35,3
family,35,9
famous,35,3
far,35,5
fashion,35,7
fast,35,7
faster,35,5
father,35,9
favor,35,3
fear,35,5
feel,35,4
feeling,35,1
felt,35,6
few,35,4
field,35,9
fight,35,9
figure,35,7
final,35,5
finally,35,1
financial,35,4
financially,35,4
find,35,5
finding,35,6
fine,35,5
finish,35,6
finished,35,5
firm,35,7
first,35,5
firstly,35,2
fit,35,5
five,35,8
focus,35,4
follow,35,7
following,35,5
food,35,10
football,35,10
for,35,1
force,35,6
forced,35,3
foreign,35,4
forget,35,3
form,35,6
forward,35,5
found,35,4
four,35,7
free,35,3
freedom,35,4
freely,35,4
fresh,35,2
friend,35,6
friendly,35,4
friendship,35,4
from,35,2
front,35,8
fuel,35,9
full,35,7
fully,35,2
fun,35,2
function,35,2
further,35,2
furthermore,35,1
future,35,2
gain,35,3
gaining,35,5
game,35,9
gap,35,8
gas,35,9
gather,35,5
gathering,35,7
gave,35,4
general,35,1
generally,35,1
generation,35,2
get,35,4
getting,35,3
girl,35,10
give,35,5
given,35,4
giving,35,3
global,35,6
globalization,35,3
go,35,6
goal,35,6
god,35,3
goes,35,3
going,35,5
gone,35,3
good,35,1
goods,35,9
google,35,7
got,35,2
government,35,6
grade,35,6
gradually,35,5
graduate,35,6
graduated,35,5
graduation,35,8
grand,35,1
grandfather,35,10
grandmother,35,10
great,35,2
greater,35,4
greatly,35,2
grew,35,7
group,35,8
grow,35,6
growing,35,6
grown,35,6
growth,35,6
guess,35,4
guide,35,8
habit,35,5
had,35,1
half,35,7
hand,35,10
handle,35,9
happen,35,1
happening,35,3
happier,35,3
happiness,35,5
happy,35,5
hard,35,8
harder,35,2
hardly,35,1
harm,35,5
harmful,35,3
have,35,3
he,35,8
head,35,10
health,35,4
healthy,35,7
hear,35,7
heart,35,9
help,35,5
helpful,35,1
helping,35,4
hence,35,1
her,35,6
here,35,6
herself,35,6
high,35,7
higher,35,6
highly,35,3
him,35,7
himself,35,7
his,35,6
historical,35,2
history,35,6
hold,35,8
home,35,8
homework,35,9
hope,35,1
hospital,35,10
hour,35,6
house,35,10
how,35,1
however,35,2
huge,35,7
human,35,10
hurt,35,7
idea,35,1
ideal,35,1
if,35,1
ignore,35,3
illustrate,35,7
image,35,8
imagination,35,1
imagine,35,1
impact,35,5
importance,35,1
important,35,3
importantly,35,2
impossible,35,1
impression,35,3
improve,35,2
improvement,35,5
improving,35,4
in,35,6
include,35,4
including,35,4
income,35,6
increase,35,5
increasing,35,4
indeed,35,1
independent,35,3
individual,35,7
industry,35,7
influence,35,3
information,35,5
informed,35,1
innovation,35,2
innovative,35,3
inside,35,7
instance,35,2
instead,35,1
intelligent,35,4
interact,35,6
interaction,35,5
interest,35,2
interested,35,3
interesting,35,1
international,35,5
internet,35,7
into,35,4
introduce,35,5
invent,35,5
invention,35,7
invest,35,4
involve,35,4
involved,35,3
is,35,1
issue,35,4
it,35,5
its,35,2
itself,35,3
japan,35,10
job,35,6
join,35,5
journey,35,5
joy,35,4
judge,35,8
just,35,1
keep,35,4
keeping,35,3
kept,35,5
key,35,10
kid,35,9
kids,35,9
kind,35,3
knew,35,1
know,35,1
knowing,35,1
knowledge,35,1
known,35,2
lack,35,3
land,35,9
language,35,4
large,35,7
last,35,6
lastly,35,4
late,35,5
later,35,2
latest,35,3
law,35,5
lazy,35,5
lead,35,8
leader,35,8
leading,35,6
learn,35,3
learned,35,4
learning,35,6
least,35,4
leave,35,4
leaving,35,7
lecture,35,8
led,35,5
left,35,8
leisure,35,3
less,35,5
lesson,35,5
let,35,4
level,35,5
library,35,10
life,35,5
lifestyle,35,3
light,35,9
like,35,2
likely,35,1
limit,35,4
limited,35,2
line,35,9
list,35,9
listen,35,7
listening,35,4
little,35,7
live,35,7
lived,35,4
living,35,6
local,35,6
long,35,6
longer,35,5
look,35,6
looking,35,7
looks,35,5
loose,35,6
lose,35,4
loss,35,3
lost,35,5
lot,35,8
lots,35,7
love,35,3
low,35,7
lower,35,5
machine,35,9
made,35,4
mail,35,10
main,35,4
mainly,35,2
maintain,35,4
major,35,3
majority,35,5
make,35,5
making,35,4
man,35,10
manage,35,2
management,35,5
manager,35,8
manner,35,1
many,35,4
market,35,10
marketing,35,4
mass,35,7
material,35,9
math,35,6
mathematics,35,4
matter,35,7
mature,35,2
may,35,6
maybe,35,1
me,35,9
mean,35,4
meaning,35,2
means,35,2
meant,35,1
media,35,7
medical,35,6
medicine,35,10
meet,35,6
meeting,35,7
member,35,6
memory,35,4
men,35,10
mental,35,3
mention,35,5
message,35,8
met,35,5
method,35,4
middle,35,8
might,35,4
mind,35,4
minded,35,2
mine,35,7
miss,35,5
mistake,35,2
mobile,35,6
mode,35,4
model,35,9
modern,35,4
mom,35,9
moment,35,1
money,35,9
month,35,9
moral,35,1
more,35,4
moreover,35,2
morning,35,7
most,35,4
mostly,35,3
mother,35,9
motivation,35,3
move,35,7
movie,35,9
moving,35,8
much,35,1
music,35,9
must,35,3
my,35,4
myself,35,6
name,35,7
nation,35,7
national,35,3
native,35,6
natural,35,2
naturally,35,1
nature,35,6
near,35,5
necessary,35,2
need,35,1
needs,35,4
negative,35,2
net,35,9
network,35,6
never,35,1
nevertheless,35,1
new,35,5
news,35,7
newspaper,35,10
next,35,5
nice,35,3
night,35,9
no,35,4
nobody,35,4
none,35,5
nor,35,2
normal,35,1
normally,35,2
not,35,3
nothing,35,3
notice,35,7
now,35,1
nowadays,35,1
number,35,7
numerous,35,5
objective,35,2
observe,35,5
obtain,35,6
obvious,35,3
obviously,35,2
occur,35,2
of,35,1
off,35,5
offer,35,3
office,35,10
often,35,4
oil,35,10
old,35,5
older,35,6
on,35,7
once,35,5
one,35,8
online,35,7
only,35,4
open,35,6
opinion,35,2
opportunity,35,2
opposite,35,2
option,35,4
or,35,1
order,35,5
organization,35,6
organize,35,5
organized,35,5
other,35,3
otherwise,35,1
our,35,2
ourselves,35,4
out,35,5
outside,35,9
over,35,4
overall,35,1
overcome,35,4
own,35,2
pace,35,6
paper,35,10
parent,35,9
part,35,7
participate,35,5
particular,35,3
party,35,8
pass,35,5
passion,35,4
past,35,1
path,35,9
patient,35,4
pay,35,7
paying,35,7
peace,35,1
people,35,10
per,35,1
perfect,35,1
perfectly,35,1
perform,35,6
performance,35,6
perhaps,35,1
period,35,7
person,35,10
personal,35,3
personality,35,3
personally,35,3
perspective,35,4
phone,35,10
physical,35,7
physically,35,4
physics,35,6
pick,35,8
picture,35,9
pictures,35,10
place,35,7
plan,35,7
planet,35,9
play,35,6
player,35,8
pleasure,35,3
plenty,35,4
pocket,35,10
point,35,7
political,35,2
politics,35,5
pollution,35,8
poor,35,5
popular,35,3
population,35,7
position,35,5
positive,35,4
possibility,35,1
possible,35,1
possibly,35,1
post,35,9
potential,35,2
power,35,3
powerful,35,3
practical,35,3
practice,35,4
precious,35,2
prefer,35,1
prepare,35,4
prepared,35,3
present,35,7
president,35,9
pressure,35,6
pretty,35,4
prevent,35,4
previous,35,4
price,35,7
primary,35,4
priority,35,1
private,35,5
probably,35,1
problem,35,5
process,35,6
produce,35,7
produced,35,5
product,35,9
production,35,5
productive,35,5
profession,35,5
professional,35,3
professor,35,10
profit,35,6
program,35,7
progress,35,3
project,35,7
promote,35,4
proper,35,1
properly,35,2
protect,35,5
proud,35,3
prove,35,2
proved,35,4
provide,35,5
provided,35,4
providing,35,4
public,35,5
purchase,35,6
purpose,35,1
pursue,35,5
put,35,4
quality,35,3
question,35,7
quick,35,6
quickly,35,4
quite,35,1
race,35,7
radio,35,10
raise,35,8
range,35,6
rapid,35,6
rapidly,35,4
rare,35,2
rarely,35,1
rate,35,4
rather,35,1
reach,35,8
read,35,7
reading,35,8
ready,35,3
real,35,4
reality,35,1
realize,35,3
really,35,1
reason,35,2
reasonable,35,1
receive,35,5
recent,35,4
recently,35,2
reduce,35,2
reduced,35,3
regard,35,2
regarding,35,1
regular,35,4
relate,35,2
related,35,5
relation,35,3
relationship,35,5
relax,35,5
relevant,35,1
reliable,35,2
religion,35,1
rely,35,2
remain,35,2
remains,35,7
remember,35,4
replace,35,6
require,35,3
research,35,6
respect,35,3
responsibility,35,1
responsible,35,1
rest,35,6
restaurant,35,10
result,35,5
return,35,6
revolution,35,5
rich,35,5
right,35,7
rise,35,8
risk,35,1
road,35,10
role,35,3
room,35,10
rule,35,5
run,35,9
running,35,9
sad,35,6
safe,35,7
said,35,6
salary,35,8
sales,35,5
same,35,5
satisfaction,35,2
satisfied,35,3
satisfy,35,3
save,35,4
saving,35,4
saw,35,9
say,35,5
saying,35,5
scenario,35,5
schedule,35,7
school,35,10
science,35,5
scientific,35,4
scientist,35,9
screen,35,9
search,35,6
searching,35,5
second,35,7
secondly,35,3
secure,35,5
security,35,5
see,35,6
seeing,35,7
seem,35,1
seen,35,6
select,35,4
self,35,6
selfish,35,2
sell,35,7
selling,35,6
send,35,5
sense,35,5
serious,35,3
seriously,35,2
serve,35,8
service,35,3
set,35,7
several,35,6
shape,35,6
share,35,6
she,35,7
shop,35,9
shopping,35,7
short,35,7
should,35,1
show,35,8
showing,35,6
shown,35,5
side,35,8
sides,35,8
significant,35,1
similar,35,4
similarly,35,5
simple,35,1
simply,35,2
since,35,1
single,35,7
sister,35,8
sit,35,10
site,35,9
sitting,35,8
situation,35,3
skill,35,3
slow,35,7
slowly,35,6
small,35,6
smaller,35,4
smart,35,1
smoking,35,9
so,35,1
soccer,35,10
social,35,4
society,35,5
software,35,8
solution,35,5
solve,35,3
some,35,4
somebody,35,8
somehow,35,1
someone,35,8
something,35,2
sometime,35,1
sometimes,35,1
somewhere,35,3
son,35,8
soon,35,2
sort,35,7
sound,35,8
source,35,6
space,35,7
spare,35,7
speak,35,8
speaking,35,8
special,35,1
specialist,35,6
specialization,35,5
specialize,35,1
specialized,35,2
specially,35,1
specific,35,3
speed,35,7
spend,35,6
spending,35,7
spent,35,6
sport,35,7
sports,35,8
spread,35,8
stage,35,10
stand,35,9
standard,35,2
start,35,5
starting,35,3
state,35,7
stated,35,5
statement,35,6
status,35,3
stay,35,3
step,35,9
steps,35,9
still,35,7
stop,35,8
store,35,9
story,35,7
street,35,10
streets,35,10
stress,35,5
strong,35,6
strongly,35,4
student,35,10
studied,35,4
study,35,8
stuff,35,6
style,35,5
subject,35,6
succeed,35,4
success,35,3
successful,35,3
such,35,1
suggest,35,2
suitable,35,2
sum,35,6
summer,35,7
support,35,5
supporting,35,4
suppose,35,1
supposed,35,1
sure,35,1
surely,35,1
surrounding,35,6
survive,35,5
system,35,6
take,35,6
taken,35,5
taking,35,5
talent,35,3
talk,35,8
talking,35,8
target,35,8
task,35,5
taste,35,8
taught,35,3
teach,35,6
teacher,35,9
teaching,35,5
team,35,8
technical,35,2
technological,35,3
technology,35,6
teenage,35,7
teenager,35,9
telephone,35,10
television,35,10
tell,35,6
telling,35,4
ten,35,7
tend,35,2
tendency,35,2
term,35,5
test,35,8
text,35,10
than,35,1
thanks,35,3
that,35,1
the,35,1
their,35,7
them,35,6
themselves,35,6
then,35,1
theory,35,1
there,35,3
thereby,35,1
therefore,35,1
these,35,3
they,35,6
thing,35,6
think,35,4
thinking,35,2
third,35,7
thirdly,35,5
this,35,3
those,35,4
though,35,1
thought,35,2
three,35,7
through,35,6
throughout,35,4
thus,35,1
till,35,8
time,35,6
times,35,3
tired,35,6
to,35,1
today,35,5
together,35,5
told,35,4
tomorrow,35,3
too,35,1
took,35,5
tool,35,9
top,35,8
topic,35,5
totally,35,1
touch,35,8
tough,35,4
tour,35,7
tourist,35,9
toward,35,4
towards,35,5
town,35,10
toy,35,10
tradition,35,1
traditional,35,1
traffic,35,10
train,35,10
trained,35,5
training,35,7
transport,35,7
transportation,35,8
travel,35,8
traveling,35,7
tremendous,35,3
trend,35,4
tried,35,3
trip,35,8
trouble,35,4
true,35,1
truly,35,1
trust,35,3
truth,35,2
try,35,3
trying,35,3
turn,35,7
turned,35,7
tv,35,10
twenty,35,8
two,35,9
type,35,7
ultimately,35,1
unable,35,1
uncle,35,9
under,35,7
understand,35,4
understanding,35,2
understood,35,4
unfortunately,35,1
unique,35,2
united,35,5
university,35,10
unknown,35,1
unless,35,1
unnecessary,35,1
until,35,1
up,35,8
upon,35,5
us,35,7
usage,35,3
use,35,5
used,35,5
useful,35,3
useless,35,1
usually,35,3
vacation,35,6
valuable,35,3
value,35,1
variety,35,3
various,35,4
vast,35,3
vehicle,35,10
very,35,1
video,35,10
view,35,6
village,35,10
violence,35,6
violent,35,6
vision,35,7
visit,35,8
visiting,35,5
vital,35,2
wait,35,5
waiting,35,5
walk,35,8
want,35,2
war,35,7
was,35,1
waste,35,6
wasting,35,3
watch,35,9
watching,35,7
water,35,10
way,35,4
ways,35,3
we,35,6
weather,35,8
web,35,9
week,35,7
well,35,7
went,35,4
were,35,1
what,35,3
whatever,35,1
when,35,1
whenever,35,2
where,35,1
whereas,35,1
whether,35,1
which,35,1
while,35,1
who,35,1
whole,35,7
whom,35,2
whose,35,1
why,35,2
wide,35,6
widely,35,3
will,35,5
willing,35,3
win,35,5
wise,35,2
wisely,35,3
wish,35,1
with,35,3
within,35,5
without,35,3
woman,35,9
won,35,6
wonderful,35,2
wont,35,1
word,35,7
work,35,7
worked,35,5
worker,35,9
working,35,7
works,35,8
world,35,9
worry,35,5
worse,35,1
worth,35,2
would,35,1
write,35,9
writing,35,8
wrong,35,2
year,35,7
yes,35,3
yet,35,1
you,35,8
young,35,6
younger,35,5
your,35,4
yourself,35,9
youth,35,7
acting,34,4
acts,34,7
adopt,34,4
agreed,34,2
amazing,34,1
anyway,34,1
application,34,7
applied,34,2
assign,34,5
assume,34,1
audience,34,9
authority,34,4
automatically,34,3
beauty,34,6
blame,34,3
bored,34,3
box,34,10
broaden,34,4
budget,34,6
capability,34,2
catch,34,8
chat,34,7
chemistry,34,7
chosen,34,4
citizen,34,9
click,34,8
collect,34,7
compete,34,5
connection,34,6
consuming,34,7
contain,34,5
cook,34,9
cooking,34,9
cover,34,9
creation,34,3
customs,34,5
dad,34,9
desired,34,2
die,34,6
differently,34,2
drawing,34,9
educate,34,3
efficiency,34,3
emotional,34,2
enormous,34,6
evidence,34,7
except,34,1
fellow,34,7
fighting,34,8
finance,34,7
firmly,34,4
former,34,3
foundation,34,8
frequently,34,2
fundamental,34,1
globe,34,9
guidance,34,4
haven,34,7
holidays,34,6
hotel,34,10
identify,34,5
immediately,34,4
independence,34,2
intellectual,34,2
interview,34,7
losing,34,4
lucky,34,1
luxury,34,5
mankind,34,6
married,34,5
master,34,5
maturity,34,2
medium,34,6
mentally,34,2
mere,34,1
millions,34,7
necessarily,34,1
necessity,34,3
neither,34,1
note,34,9
outcome,34,4
particularly,34,1
percent,34,5
piece,34,8
plane,34,10
plus,34,6
presence,34,5
presentation,34,6
previously,34,1
psychological,34,3
raised,34,5
received,34,5
recognize,34,3
refer,34,4
reputation,34,1
requirement,34,4
response,34,6
restricted,34,5
risky,34,1
routine,34,5
saved,34,5
score,34,7
sector,34,7
seek,34,5
sensitive,34,3
sick,34,6
sold,34,6
stable,34,8
stick,34,9
strategy,34,2
strict,34,5
structure,34,8
suffer,34,4
sufficient,34,2
summary,34,6
surroundings,34,8
total,34,5
travelled,34,6
treat,34,8
twice,34,6
unhappy,34,3
unlike,34,5
via,34,2
virtual,34,3
washing,34,9
wealth,34,5
worst,34,1
written,34,8
accessible,33,2
accident,33,7
added,33,5
additional,33,4
agreement,33,3
aids,33,7
baby,33,10
blood,33,10
brains,33,8
burden,33,5
campus,33,9
carried,33,7
communicating,33,7
confused,33,4
contribution,33,4
crisis,33,4
cure,33,4
currently,33,3
daughter,33,10
deny,33,3
describe,33,3
discovery,33,4
drinking,33,8
ease,33,4
economics,33,1
entertain,33,5
entirely,33,2
excel,33,3
facility,33,7
fly,33,10
foremost,33,2
forever,33,1
formed,33,6
fulfill,33,1
funny,33,4
ground,33,10
guy,33,10
hate,33,2
hire,33,6
honest,33,1
humanity,33,4
hurry,33,5
industrial,33,6
inform,33,4
instant,33,5
institution,33,7
jack,33,9
kill,33,8
lesser,33,4
literature,33,8
location,33,6
logical,33,3
maximum,33,5
merely,33,1
minute,33,6
nearly,33,2
nuclear,33,6
object,33,7
occupation,33,8
oneself,33,7
original,33,3
outdoor,33,8
paced,33,5
painting,33,9
park,33,10
passing,33,5
peer,33,8
policy,33,5
preparation,33,3
reaching,33,7
react,33,5
relative,33,6
relaxing,33,5
report,33,8
rush,33,6
safety,33,4
scale,33,9
scope,33,8
sleep,33,9
spirit,33,1
stock,33,9
strange,33,2
strength,33,6
struggle,33,5
theirs,33,4
trade,33,6
typical,33,1
walking,33,9
website,33,9
western,33,5
wife,33,8
wonder,33,2
worried,33,3
achievement,32,4
ad,32,9
adjust,32,6
anytime,32,1
article,32,9
availability,32,4
basketball,32,10
beside,32,5
bound,32,7
caring,32,1
center,32,8
combine,32,7
comparison,32,2
consume,32,7
define,32,3
designed,32,6
dull,32,4
engaged,32,4
entertaining,32,3
establish,32,2
evident,32,3
extend,32,6
extreme,32,2
fell,32,7
finishing,32,4
gift,32,9
handling,32,6
hang,32,8
holiday,32,5
hundred,32,6
indirectly,32,2
intelligence,32,3
latter,32,3
letter,32,10
lie,32,6
memorize,32,7
mentality,32,2
motivate,32,3
movement,32,7
multiple,32,7
notion,32,2
ordinary,32,2
pain,32,7
phase,32,4
promotion,32,6
quantity,32,6
raising,32,6
recommend,32,1
reflect,32,5
religious,32,4
represent,32,3
shall,32,4
sight,32,6
specifically,32,1
sun,32,10
survival,32,4
treatment,32,6
usual,32,2
vary,32,2
weak,32,5
workplace,32,9
accordingly,31,1
acquired,31,4
addiction,31,5
adventure,31,5
analyze,31,4
bed,31,10
cleaning,31,8
climate,31,7
crime,31,6
cross,31,9
curious,31,1
decreasing,31,5
demanding,31,4
determined,31,2
dinner,31,9
divided,31,7
drug,31,9
essence,31,1
existence,31,1
expertise,31,1
expose,31,7
feature,31,6
fill,31,7
funds,31,9
household,31,8
ill,31,6
mark,31,9
match,31,8
minor,31,5
missing,31,5
perception,31,2
phenomenon,31,4
pleasant,31,1
possess,31,5
practically,31,1
preference,31,3
proven,31,3
push,31,9
reaction,31,4
region,31,6
resource,31,5
secondary,31,4
sent,31,5
significantly,31,2
socialize,31,4
socially,31,2
soft,31,8
station,31,9
stimulate,31,6
stressful,31,2
suddenly,31,2
suffering,31,4
summarize,31,4
superior,31,3
supply,31,7
track,31,9
vote,31,8
appealing,30,3
attain,30,3
cancer,30,8
carrier,30,9
chatting,30,6
circle,30,9
cold,30,8
conflict,30,3
convey,30,1
cool,30,7
cream,30,10
definition,30,6
deliver,30,6
destroy,30,6
differ,30,1
eager,30,2
elder,30,7
employment,30,7
engine,30,10
error,30,5
evaluate,30,2
examination,30,8
excited,30,4
explanation,30,2
favorite,30,5
film,30,10
fire,30,10
fix,30,6
flexible,30,5
forth,30,4
hide,30,6
hobby,30,6
hot,30,9
individually,30,4
influential,30,2
investment,30,7
leaves,30,10
magazine,30,10
miles,30,7
operate,30,6
owner,30,8
partially,30,5
principles,30,1
productivity,30,4
quote,30,7
regardless,30,1
relatively,30,1
sentence,30,7
setting,30,6
sex,30,8
size,30,6
successfully,30,2
talented,30,3
traveled,30,5
utilize,30,2
voice,30,8
wasted,30,5
wear,30,7
weight,30,8
white,30,8
animal,29,9
attempt,29,3
combination,29,5
commonly,29,1
conduct,29,3
convenience,29,3
courage,29,1
decline,29,5
detailed,29,4
door,29,10
drop,29,9
emphasize,29,2
evening,29,7
fame,29,2
filled,29,6
fixed,29,6
forces,29,5
husband,29,8
incident,29,5
included,29,3
item,29,9
lawyer,29,10
lifetime,29,3
manufacturing,29,7
negatively,29,3
opening,29,8
patience,29,1
qualified,29,2
respective,29,2
sake,29,5
sale,29,7
sending,29,5
shares,29,5
shy,29,4
sign,29,9
six,29,7
skin,29,10
star,29,10
steady,29,4
stopped,29,7
turns,29,7
user,29,6
varied,29,6
watched,29,6
wealthy,29,5
worldwide,29,4
acceptable,28,2
admit,28,4
arise,28,6
aside,28,3
badly,28,2
basics,28,4
birth,28,9
brief,28,4
button,28,10
card,28,10
dance,28,9
disaster,28,6
distinguish,28,3
election,28,6
elementary,28,3
entering,28,7
equipment,28,10
feed,28,9
flying,28,8
hidden,28,6
highest,28,5
imitate,28,5
increasingly,28,2
killing,28,7
leadership,28,4
minimum,28,4
multi,28,5
ours,28,2
periods,28,7
precise,28,4
predict,28,2
proverb,28,4
reasoning,28,1
reducing,28,4
relaxation,28,6
reward,28,7
round,28,8
solar,28,8
south,28,8
teens,28,8
undoubtedly,28,2
unfair,28,1
advert,27,6
attack,27,8
author,27,9
bond,27,7
brilliant,27,3
businessman,27,9
considerable,27,3
contemporary,27,2
core,27,8
curiosity,27,1
dress,27,10
employer,27,8
factory,27,10
forgotten,27,1
grandparent,27,8
heavy,27,7
identity,27,2
