lang1,lang2,physical_dist,lang1_ETS,lang2_ETS
el,nl,1841488.3881834606,gre,dut
gu,nl,6425811.792370961,guj,dut
hi,nl,6641757.426330788,hin,dut
ig,nl,5255766.034259942,ibo,dut
id,nl,11654553.63425256,ind,dut
it,nl,1148656.6700993585,ita,dut
ja,nl,9213536.620771984,jpn,dut
kn,nl,7537060.940590644,kan,dut
ko,nl,8657835.969496988,kor,dut
ml,nl,7926182.275168961,mal,dut
mr,nl,7204501.842629156,mar,dut
ne,nl,6944065.907524222,nep,dut
pa,nl,6148626.944097745,pan,dut
pl,nl,936186.0427597758,pol,dut
pt,nl,1678914.4077029931,por,dut
ro,nl,1527782.711580687,rum,dut
ru,nl,2887588.7672602646,rus,dut
es,nl,1367541.0744159468,spa,dut
tl,nl,10513974.201680265,tgl,dut
ta,nl,7986144.190595258,tam,dut
te,nl,7469475.347651099,tel,dut
th,nl,9159851.69165867,tha,dut
tr,nl,2523553.8618374583,tur,dut
ur,nl,5955688.109941165,urd,dut
vi,nl,8928921.509993408,vie,dut
yo,nl,4973805.930134337,yor,dut
fa,nl,4856055.802707293,fas,dut
ar,en,4596930.125161684,ara,eng
bn,en,7977752.352595728,ben,eng
bg,en,2195775.728349094,bul,eng
zh,en,8070114.217975466,chi,eng
nl,en,422239.37327855104,dut,eng
en,en,0,eng,eng
fr,en,595392.8406688207,fre,eng
de,en,1062978.6749504046,ger,eng
el,en,2258216.69033033,gre,eng
gu,en,6836213.252624857,guj,eng
hi,en,7038546.649536214,hin,eng
ig,en,5415848.173087779,ibo,eng
id,en,12036723.967065675,ind,eng
it,en,1498796.672898516,ita,eng
ja,en,9370189.31543568,jpn,eng
kn,en,7951232.449587702,kan,eng
ko,en,8840314.795018284,kor,eng
ml,en,8343058.0217696885,mal,eng
mr,en,7613092.130912889,mar,eng
ne,en,7316115.476027002,nep,eng
pa,en,6537349.749570405,pan,eng
pl,en,1337081.5218783715,pol,eng
pt,en,1552089.2941598173,por,eng
ro,en,1949952.8262777415,rum,eng
ru,en,3168745.271009584,rus,eng
es,en,1396105.4161521192,spa,eng
tl,en,10798960.321639113,tgl,eng
ta,en,8400045.61329308,tam,eng
te,en,7876920.572274128,tel,eng
th,en,9522353.950663209,tha,eng
tr,en,2945073.275855788,tur,eng
ur,en,6368551.380884533,urd,eng
vi,en,9258551.652771467,vie,eng
yo,en,5101305.783208557,yor,eng
fa,en,5276558.423380536,fas,eng
ar,fr,4223619.734216817,ara,fre
bn,fr,7921856.088380566,ben,fre
bg,fr,1859985.0159963877,bul,fre
zh,fr,8303450.908577928,chi,fre
nl,fr,494072.34925698204,dut,fre
en,fr,595392.8406688207,eng,fre
fr,fr,0,fre,fre
de,fr,778965.864021161,ger,fre
el,fr,1897137.6254544233,gre,fre
gu,fr,6630196.180375996,guj,fre
hi,fr,6894454.406900699,hin,fre
ig,fr,4832710.179993491,ibo,fre
id,fr,11928956.937910737,ind,fre
it,fr,996227.3165250592,ita,fre
ja,fr,9696454.97876045,jpn,fre
kn,fr,7718166.817604139,kan,fre
ko,fr,9133210.095504519,kor,fre
ml,fr,8089065.955916667,mal,fre
mr,fr,7413808.71831777,mar,fre
ne,fr,7254052.04443522,nep,fre
pa,fr,6425172.469359724,pan,fre
pl,fr,1264729.5522472286,pol,fre
pt,fr,1208413.2384811023,por,fre
ro,fr,1687742.8037862645,rum,fre
ru,fr,3325510.347018454,rus,fre
es,fr,875856.135905483,spa,fre
tl,fr,10926549.12716388,tgl,fre
ta,fr,8167208.025101235,tam,fre
te,fr,7682561.056816028,tel,fre
th,fr,9480603.183447165,tha,fre
tr,fr,2616895.4134939993,tur,fre
ur,fr,6150155.394462998,urd,fre
vi,fr,9298429.307353633,vie,fre
yo,fr,4530171.080433513,yor,fre
fa,fr,4999609.259531705,fas,fre
ar,de,3535217.2545667626,ara,ger
bn,de,7147511.525422445,ben,ger
bg,de,1135551.5659691622,bul,ger
zh,de,7665339.062314109,chi,ger
nl,de,648899.8013403004,dut,ger
en,de,1062978.6749504046,eng,ger
fr,de,778965.864021161,fre,ger
de,de,0,ger,ger
el,de,1195287.1606392018,gre,ger
gu,de,5859893.093724248,guj,ger
hi,de,6116030.647597011,hin,ger
ig,de,4904232.615754051,ibo,ger
id,de,11150043.752943655,ind,ger
it,de,622871.9515870598,ita,ger
ja,de,9137707.66192648,jpn,ger
kn,de,6955859.496274295,kan,ger
ko,de,8543651.254968284,kor,ger
ml,de,7334084.061302668,mal,ger
mr,de,6642708.13698511,mar,ger
ne,de,6479366.9175955905,nep,ger
pa,de,5646447.023633601,pan,ger
pl,de,564666.7125525845,pol,ger
pt,de,1898521.5554106086,por,ger
ro,de,919366.8785663411,rum,ger
ru,de,2680285.528892395,rus,ger
es,de,1409573.040927153,spa,ger
tl,de,10206691.459029082,tgl,ger
ta,de,7405217.464688878,tam,ger
te,de,6910674.882376551,tel,ger
th,de,8707172.815367417,tha,ger
tr,de,1890050.1957939565,tur,ger
ur,de,5382302.064537044,urd,ger
vi,de,8545557.003249852,vie,ger
yo,de,4673706.434980594,yor,ger
fa,de,4250254.334833125,fas,ger
ar,el,2341440.632817024,ara,gre
bn,el,6246733.516112214,ben,gre
bg,el,116678.67040367148,bul,gre
zh,el,7267604.233541241,chi,gre
nl,el,1841488.3881834606,dut,gre
en,el,2258216.69033033,eng,gre
fr,el,1897137.6254544233,fre,gre
de,el,1195287.1606392018,ger,gre
el,el,0,gre,gre
gu,el,4784157.351868784,guj,gre
hi,el,5111526.055227844,hin,gre
ig,el,4526852.529707927,ibo,gre
id,el,10133713.019188436,ind,gre
it,el,1003926.895210731,ita,gre
ja,el,8889698.82790362,jpn,gre
kn,el,5845624.908679389,kan,gre
ko,el,8241882.892579985,kor,gre
ml,el,6204479.448930087,mal,gre
mr,el,5567547.5494462,mar,gre
ne,el,5583094.626364571,nep,gre
pa,el,4694132.252495323,pan,gre
pl,el,1158837.5642245188,pol,gre
pt,el,2764584.119747829,por,gre
ro,el,455038.05680504633,rum,gre
ru,el,2539003.6382927904,rus,gre
es,el,2175318.5527780917,spa,gre
tl,el,9524156.655326607,tgl,gre
ta,el,6293090.149005554,tam,gre
te,el,5838604.374249856,tel,gre
th,el,7799379.748479891,tha,gre
tr,el,724712.1630842788,tur,gre
ur,el,4297465.354275472,urd,gre
vi,el,7760626.212345769,vie,gre
yo,el,4419354.0797663275,yor,gre
fa,el,3114557.736285432,fas,gre
ar,gu,2798242.7944938554,ara,guj
bn,gu,1937137.8336859606,ben,guj
bg,gu,4795601.704763638,bul,guj
zh,gu,4643764.403534622,chi,guj
nl,gu,6425811.792370961,dut,guj
en,gu,6836213.252624857,eng,guj
fr,gu,6630196.180375996,fre,guj
de,gu,5859893.093724248,ger,guj
el,gu,4784157.351868784,gre,guj
gu,gu,0,guj,guj
hi,gu,653632.5484546425,hin,guj
ig,gu,7137476.8667548895,ibo,guj
id,gu,5359930.101051634,ind,guj
it,gu,5786552.198636559,ita,guj
ja,gu,6279574.074430954,jpn,guj
kn,gu,1138474.6654153212,kan,guj
ko,gu,5637100.16421967,kor,guj
ml,gu,1570236.9793655998,mal,guj
mr,gu,784209.7931301724,mar,guj
ne,gu,1517019.1406772085,nep,guj
pa,gu,933273.5489110512,pan,guj
pl,gu,5499968.5150709525,pol,guj
pt,gu,7536082.406259669,por,guj
ro,gu,4942923.152276928,rum,guj
ru,gu,4365830.99337445,rus,guj
es,gu,6939917.027401614,spa,guj
tl,gu,5412189.881781649,tgl,guj
ta,gu,1577982.5314741412,tam,guj
te,gu,1054635.0216973396,tel,guj
th,gu,3255661.1571888304,tha,guj
tr,gu,4066150.58130724,tur,guj
ur,gu,489606.2019403098,urd,guj
vi,gu,3587284.3456257856,vie,guj
yo,gu,7396894.9105508085,yor,guj
fa,gu,1729388.899368576,fas,guj
ar,hi,3311264.7026759945,ara,hin
bn,hi,1321746.3491365928,ben,hin
bg,hi,5108089.318554319,bul,hin
zh,hi,4003733.02584325,chi,hin
nl,hi,6641757.426330788,dut,hin
en,hi,7038546.649536214,eng,hin
fr,hi,6894454.406900699,fre,hin
de,hi,6116030.647597011,ger,hin
el,hi,5111526.055227844,gre,hin
gu,hi,653632.5484546425,guj,hin
hi,hi,0,hin,hin
ig,hi,7759503.909050633,ibo,hin
id,hi,5036708.432729124,ind,hin
it,hi,6113467.670860655,ita,hin
ja,hi,5627365.678691829,jpn,hin
kn,hi,1266675.1996016263,kan,hin
ko,hi,4987900.4032282345,kor,hin
ml,hi,1705498.8500729192,mal,hin
mr,hi,783096.8932186045,mar,hin
ne,hi,863748.350956956,nep,hin
pa,hi,573371.5044201746,pan,hin
pl,hi,5705974.294063691,pol,hin
pt,hi,7875925.267298506,por,hin
ro,hi,5214190.937581149,rum,hin
ru,hi,4325411.764013555,rus,hin
es,hi,7286195.632531771,spa,hin
tl,hi,4826703.62987345,tgl,hin
ta,hi,1614233.276379577,tam,hin
te,hi,962714.3042331435,tel,hin
th,hi,2750182.012547051,tha,hin
tr,hi,4413020.28343486,tur,hin
ur,hi,1009271.4935776894,urd,hin
vi,hi,2985762.2841381184,vie,hin
yo,hi,8003378.117578886,yor,hin
fa,hi,2205350.7858324503,fas,hin
ar,ig,4655630.590438395,ara,ibo
bn,ig,9073466.64894871,ben,ibo
bg,ig,4636254.674032113,bul,ibo
zh,ig,11278068.164958568,chi,ibo
nl,ig,5255766.034259942,dut,ibo
en,ig,5415848.173087779,eng,ibo
fr,ig,4832710.179993491,fre,ibo
de,ig,4904232.615754051,ger,ibo
el,ig,4526852.529707927,gre,ibo
gu,ig,7137476.8667548895,guj,ibo
hi,ig,7759503.909050633,hin,ibo
ig,ig,0,ibo,ibo
id,ig,11458500.024639444,ind,ibo
it,ig,4289680.7549673375,ita,ibo
ja,ig,13021236.951260425,jpn,ibo
kn,ig,7615186.535548248,kan,ibo
ko,ig,12334359.376909466,kor,ibo
ml,ig,7689610.545954701,mal,ibo
mr,ig,7682805.309167829,mar,ibo
ne,ig,8573063.4935882,nep,ibo
pa,ig,7683051.752846894,pan,ibo
pl,ig,5339543.82984224,pol,ibo
pt,ig,4200822.32470979,por,ibo
ro,ig,4910047.827964247,rum,ibo
ru,ig,7053083.576520684,rus,ibo
es,ig,4054300.321053893,spa,ibo
tl,ig,12515894.198449746,tgl,ibo
ta,ig,7913042.106896411,tam,ibo
te,ig,7895749.679808521,tel,ibo
th,ig,10262340.881217662,tha,ibo
tr,ig,4675688.982433938,tur,ibo
ur,ig,6757070.386241726,urd,ibo
vi,ig,10721062.683828792,vie,ibo
yo,ig,483350.25921131467,yor,ibo
fa,ig,5708574.222791265,fas,ibo
ar,id,8075938.139229537,ara,ind
bn,id,4074983.6764476798,ben,ind
bg,id,10137053.509011086,bul,ind
zh,id,5285537.500991474,chi,ind
nl,id,11654553.63425256,dut,ind
en,id,12036723.967065675,eng,ind
fr,id,11928956.937910737,fre,ind
de,id,11150043.752943655,ger,ind
el,id,10133713.019188436,gre,ind
gu,id,5359930.101051634,guj,ind
hi,id,5036708.432729124,hin,ind
ig,id,11458500.024639444,ibo,ind
id,id,0,ind,ind
it,id,11137639.904011477,ita,ind
ja,id,5386326.613401104,jpn,ind
kn,id,4375065.46105357,kan,ind
ko,id,5315039.301397735,kor,ind
ml,id,4105465.694770857,mal,ind
mr,id,4583025.082267102,mar,ind
ne,id,4727694.267612806,nep,ind
pa,id,5508078.707908684,pan,ind
pl,id,10719591.136589225,pol,ind
pt,id,12894007.78491608,por,ind
ro,id,10250895.095790362,rum,ind
ru,id,9047319.408289012,rus,ind
es,id,12298776.258607456,spa,ind
tl,id,2713824.9358022786,tgl,ind
ta,id,3951899.90429495,tam,ind
te,id,4311592.22212788,tel,ind
th,id,2581775.1375089977,tha,ind
tr,id,9421653.430229325,tur,ind
ur,id,5849398.889805182,urd,ind
vi,id,3128640.0999725605,vie,ind
yo,id,11879934.308360698,yor,ind
fa,id,7075618.47607651,fas,ind
ar,it,3260258.080739707,ara,ita
bn,it,7231594.672961654,ben,ita
bg,it,1007266.6599324949,bul,ita
zh,it,8036255.613788268,chi,ita
nl,it,1148656.6700993585,dut,ita
en,it,1498796.672898516,eng,ita
fr,it,996227.3165250592,fre,ita
de,it,622871.9515870598,ger,ita
el,it,1003926.895210731,gre,ita
gu,it,5786552.198636559,guj,ita
hi,it,6113467.670860655,hin,ita
ig,it,4289680.7549673375,ibo,ita
id,it,11137639.904011477,ind,ita
it,it,0,ita,ita
ja,it,9575799.119506935,jpn,ita
kn,it,6839799.808466928,kan,ita
ko,it,8958423.707635127,kor,ita
ml,it,7190379.527000566,mal,ita
mr,it,6569452.17805864,mar,ita
ne,it,6565436.758427598,nep,ita
pa,it,5687587.699156919,pan,ita
pl,it,1076078.7192441947,pol,ita
pt,it,1762885.612833942,por,ita
ro,it,988494.3857026248,rum,ita
ru,it,3102027.821353561,rus,ita
es,it,1179625.399476898,spa,ita
tl,it,10442934.206694571,tgl,ita
ta,it,7286011.341446832,tam,ita
te,it,6840697.599519587,tel,ita
th,it,8788384.557522757,tha,ita
tr,it,1721256.7511798567,tur,ita
ur,it,5299183.116610757,urd,ita
vi,it,8713876.376034383,vie,ita
yo,it,4073039.3569511734,yor,ita
fa,it,4105328.848371043,fas,ita
ar,ja,8384769.073273288,ara,jpn
bn,ja,4490322.882790303,ben,jpn
bg,ja,8806285.984893756,bul,jpn
zh,ja,1746718.3187015671,chi,jpn
nl,ja,9213536.620771984,dut,jpn
en,ja,9370189.31543568,eng,jpn
fr,ja,9696454.97876045,fre,jpn
de,ja,9137707.66192648,ger,jpn
el,ja,8889698.82790362,gre,jpn
gu,ja,6279574.074430954,guj,jpn
hi,ja,5627365.678691829,hin,jpn
ig,ja,13021236.951260425,ibo,jpn
id,ja,5386326.613401104,ind,jpn
it,ja,9575799.119506935,ita,jpn
ja,ja,0,jpn,jpn
kn,ja,6331535.954574382,kan,jpn
ko,ja,687347.2318954082,kor,jpn
ml,ja,6521389.653860221,mal,jpn
mr,ja,6028043.64121211,mar,jpn
ne,ja,4763914.383347726,nep,jpn
pa,ja,5520482.228123163,pan,jpn
pl,ja,8574814.220269233,pol,jpn
pt,ja,10890484.540006284,por,jpn
ro,ja,8648266.981210321,rum,jpn
ru,ja,6475523.364844637,rus,jpn
es,ja,10523684.197809765,spa,jpn
tl,ja,2673927.0225271345,tgl,jpn
ta,ja,6277587.422054904,tam,jpn
te,ja,5927277.003115074,tel,jpn
th,ja,4137305.8346388345,tha,jpn
tr,ja,8512340.892891657,tur,jpn
ur,ja,6531486.341208723,urd,jpn
vi,ja,3269443.4560770844,vie,jpn
yo,ja,13105084.290556755,yor,jpn
fa,ja,7387481.419994679,fas,jpn
ar,kn,3701030.470755984,ara,kan
bn,kn,1860230.4180453413,ben,kan
bg,kn,5866852.158996296,bul,kan
zh,kn,4882409.027860228,chi,kan
nl,kn,7537060.940590644,dut,kan
en,kn,7951232.449587702,eng,kan
fr,kn,7718166.817604139,fre,kan
de,kn,6955859.496274295,ger,kan
el,kn,5845624.908679389,gre,kan
gu,kn,1138474.6654153212,guj,kan
hi,kn,1266675.1996016263,hin,kan
ig,kn,7615186.535548248,ibo,kan
id,kn,4375065.46105357,ind,kan
it,kn,6839799.808466928,ita,kan
ja,kn,6331535.954574382,jpn,kan
kn,kn,0,kan,kan
ko,kn,5758126.193769689,kor,kan
ml,kn,447575.34183391015,mal,kan
mr,kn,484524.8774980443,mar,kan
ne,kn,1842371.9096802971,nep,kan
pa,kn,1822029.4074668959,pan,kan
pl,kn,6617983.341746593,pol,kan
pt,kn,8566340.286192408,por,kan
ro,kn,6036547.238453873,rum,kan
ru,kn,5485165.20366047,rus,kan
es,kn,7968952.831019397,spa,kan
tl,kn,4925356.150382201,tgl,kan
ta,kn,449391.376468674,tam,kan
te,kn,421443.97534615063,tel,kan
th,kn,2653297.3118268084,tha,kan
tr,kn,5121541.396013758,tur,kan
ur,kn,1584422.5513783835,urd,kan
vi,kn,3245676.546650413,vie,kan
yo,kn,7940901.146060731,yor,kan
fa,kn,2734925.055601347,fas,kan
ar,ko,7697747.804972213,ara,kor
bn,ko,3901459.1840497293,ben,kor
bg,ko,8161607.014696982,bul,kor
zh,ko,1059856.5242616816,chi,kor
nl,ko,8657835.969496988,dut,kor
en,ko,8840314.795018284,eng,kor
fr,ko,9133210.095504519,fre,kor
de,ko,8543651.254968284,ger,kor
el,ko,8241882.892579985,gre,kor
gu,ko,5637100.16421967,guj,kor
hi,ko,4987900.4032282345,hin,kor
ig,ko,12334359.376909466,ibo,kor
id,ko,5315039.301397735,ind,kor
it,ko,8958423.707635127,ita,kor
ja,ko,687347.2318954082,jpn,kor
kn,ko,5758126.193769689,kan,kor
ko,ko,0,kor,kor
ml,ko,5978426.800732538,mal,kor
mr,ko,5428773.265253469,mar,kor
ne,ko,4127227.732469048,nep,kor
pa,ko,4855408.970703544,pan,kor
pl,ko,7979145.00722643,pol,kor
pt,ko,10336552.256405817,por,kor
ro,ko,8016234.778540317,rum,kor
ru,ko,5868026.726511729,rus,kor
es,ko,9941834.200660508,spa,kor
tl,ko,2669910.551057125,tgl,kor
ta,ko,5739181.689501399,tam,kor
te,ko,5346174.600512767,tel,kor
th,ko,3737465.58931057,tha,kor
tr,ko,7844927.770039561,tur,kor
ur,ko,5871186.538279603,urd,kor
vi,ko,2842566.8136639274,vie,kor
yo,ko,12422597.077142423,yor,kor
fa,ko,6704653.035782833,fas,kor
ar,ml,4000129.0918839085,ara,mal
bn,ml,2125787.963767223,ben,mal
bg,ml,6231523.737451223,bul,mal
zh,ml,5151957.910743983,chi,mal
nl,ml,7926182.275168961,dut,mal
en,ml,8343058.0217696885,eng,mal
fr,ml,8089065.955916667,fre,mal
de,ml,7334084.061302668,ger,mal
el,ml,6204479.448930087,gre,mal
gu,ml,1570236.9793655998,guj,mal
hi,ml,1705498.8500729192,hin,mal
ig,ml,7689610.545954701,ibo,mal
id,ml,4105465.694770857,ind,mal
it,ml,7190379.527000566,ita,mal
ja,ml,6521389.653860221,jpn,mal
kn,ml,447575.34183391015,kan,mal
ko,ml,5978426.800732538,kor,mal
ml,ml,0,mal,mal
mr,ml,923043.9324079778,mar,mal
ne,ml,2212913.885232368,nep,mal
pa,ml,2266314.269075671,pan,mal
pl,ml,7014343.935608245,pol,mal
pt,ml,8897684.598694062,por,mal
ro,ml,6415201.206370539,rum,mal
ru,ml,5928265.390115377,rus,mal
es,ml,8301457.128936809,spa,mal
tl,ml,4919610.28682274,tgl,mal
ta,ml,248140.37843407507,tam,mal
te,ml,787543.9220033505,tel,mal
th,ml,2652149.9765959755,tha,mal
tr,ml,5479825.028002897,tur,mal
ur,ml,1994331.5520672281,urd,mal
vi,ml,3342541.3314670417,vie,mal
yo,ml,8040591.97899307,yor,mal
fa,ml,3090522.59110201,fas,mal
ar,mr,3530796.2382151787,ara,mar
bn,mr,1539462.5981032634,ben,mar
bg,mr,5579645.332853089,bul,mar
zh,mr,4511900.648246458,chi,mar
nl,mr,7204501.842629156,dut,mar
en,mr,7613092.130912889,eng,mar
fr,mr,7413808.71831777,fre,mar
de,mr,6642708.13698511,ger,mar
el,mr,5567547.5494462,gre,mar
gu,mr,784209.7931301724,guj,mar
hi,mr,783096.8932186045,hin,mar
ig,mr,7682805.309167829,ibo,mar
id,mr,4583025.082267102,ind,mar
it,mr,6569452.17805864,ita,mar
ja,mr,6028043.64121211,jpn,mar
kn,mr,484524.8774980443,kan,mar
ko,mr,5428773.265253469,kor,mar
ml,mr,923043.9324079778,mal,mar
mr,mr,0,mar,mar
ne,mr,1403504.568790075,nep,mar
pa,mr,1344275.6809473522,pan,mar
pl,mr,6276165.901561938,pol,mar
pt,mr,8316549.7822640315,por,mar
ro,mr,5726316.242079123,rum,mar
ru,mr,5046602.363184601,rus,mar
es,mr,7719913.910260706,spa,mar
tl,mr,4833097.381670751,tgl,mar
ta,mr,852736.9483892816,tam,mar
te,mr,271624.008330802,tel,mar
th,mr,2599705.745791249,tha,mar
tr,mr,4848574.478240672,tur,mar
ur,mr,1270278.6906722283,urd,mar
vi,mr,3069702.3781703366,vie,mar
yo,mr,7978769.027787429,yor,mar
fa,mr,2494119.4006300643,fas,mar
ar,ne,4028124.8112452948,ara,nep
bn,ne,668407.5787109793,ben,nep
bg,ne,5561792.061936084,bul,nep
zh,ne,3156082.399195372,chi,nep
nl,ne,6944065.907524222,dut,nep
en,ne,7316115.476027002,eng,nep
fr,ne,7254052.04443522,fre,nep
de,ne,6479366.9175955905,ger,nep
el,ne,5583094.626364571,gre,nep
gu,ne,1517019.1406772085,guj,nep
hi,ne,863748.350956956,hin,nep
ig,ne,8573063.4935882,ibo,nep
id,ne,4727694.267612806,ind,nep
it,ne,6565436.758427598,ita,nep
ja,ne,4763914.383347726,jpn,nep
kn,ne,1842371.9096802971,kan,nep
ko,ne,4127227.732469048,kor,nep
ml,ne,2212913.885232368,mal,nep
mr,ne,1403504.568790075,mar,nep
ne,ne,0,nep,nep
pa,ne,936223.237620031,pan,nep
pl,ne,6014880.6232321365,pol,nep
pt,ne,8318288.330260027,por,nep
ro,ne,5615388.961927809,rum,nep
ru,ne,4361106.11461555,rus,nep
es,ne,7744768.384680241,spa,nep
tl,ne,4099006.0425635097,tgl,nep
ta,ne,2039893.4486012321,tam,nep
te,ne,1433302.4025606292,tel,nep
th,ne,2228916.864504269,tha,nep
tr,ne,4923712.333690732,tur,nep
ur,ne,1823138.368206885,urd,nep
vi,ne,2254343.062052073,vie,nep
yo,ne,8794961.471664652,yor,nep
fa,ne,2919555.7091179774,fas,nep
ar,pa,3098921.3251006734,ara,pan
bn,pa,1569778.561201189,ben,pan
bg,pa,4680508.644275357,bul,pan
zh,pa,3826901.414196636,chi,pan
nl,pa,6148626.944097745,dut,pan
en,pa,6537349.749570405,eng,pan
fr,pa,6425172.469359724,fre,pan
